Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
2.6,7.0,,,,4.0,5.25,6.0,3.4,,5.08,,,16.25,13.0,
3.2,6.5,,,,3.0,5.0,5.5,3.4,,4.5,,,14.5,,
4.2,8.0,,,,5.75,7.25,8.5,3.8,,7.17,,,21.0,16.0,
4.6,5.75,,,,4.0,6.0,7.75,2.4,,5.92,,,15.75,,
2.0,7.5,,,,5.25,4.75,6.75,1.6,,5.58,,,17.5,,
4.0,5.0,,,,1.25,5.75,6.5,2.6,,4.5,,,12.0,,
2.8,5.5,,,,5.0,5.75,7.0,3.4,,5.92,,,16.25,,
3.8,7.0,,,,4.75,6.0,8.5,4.4,,6.42,,,17.75,,
5.0,7.5,,,,3.0,7.5,8.75,2.6,,6.42,,,18.0,,
3.2,5.5,,,,4.25,5.75,7.25,3.4,,5.75,,,15.5,,
3.4,6.5,,,,3.0,4.25,7.25,2.8,,4.83,,,13.75,,
4.2,2.25,,,,2.75,2.75,5.75,3.2,,3.75,,,7.75,,
6.2,8.75,,,,6.5,7.25,9.0,5.6,,7.58,,,22.5,,
3.0,7.25,,,,3.75,6.25,6.75,2.2,,5.58,,,17.25,,
4.4,6.75,,,,7.5,8.5,7.5,2.8,,7.83,,,22.75,,
3.6,7.5,,,,4.25,5.5,8.25,3.4,,6.0,,,17.25,,
4.0,7.0,,,,3.75,6.0,8.0,2.8,,5.92,,,16.75,,
4.2,6.75,,,,3.0,5.25,7.0,3.0,,5.08,,,15.0,,
4.8,5.5,,,,3.75,5.0,7.5,4.0,,5.42,,,14.25,,
2.2,5.75,,,,3.25,4.5,6.75,2.8,,4.83,,,13.5,,
3.0,6.5,,,,4.25,4.75,6.0,2.4,,5.0,,,15.5,,
2.4,6.75,,,,7.75,4.5,6.75,3.8,,6.33,,,19.0,,
3.4,5.75,,,,5.25,5.25,5.5,3.0,,5.33,,,16.25,,
5.0,7.0,,,,5.0,7.75,7.0,3.6,,6.58,,,19.75,,
4.2,7.0,,,,6.75,5.75,8.25,3.8,,6.92,,,19.5,15.0,
2.8,6.25,,,,6.0,5.25,7.25,2.8,,6.17,,,17.5,,
3.2,3.75,,,,5.75,5.0,7.0,3.0,,5.92,,,14.5,,
4.4,8.0,,,,8.5,8.0,9.0,5.0,,8.5,,,24.5,,
4.6,5.0,,,,4.75,4.0,6.0,2.2,,4.92,,,13.75,,
5.0,6.75,,,,5.0,5.0,5.75,3.4,,5.25,,,16.75,,
1.8,3.0,,,,3.75,3.75,4.25,3.8,,3.92,,,10.5,,
2.4,5.5,,,,5.5,5.75,7.25,3.2,,6.17,,,16.75,,
2.6,5.5,,,,5.0,5.5,6.5,2.8,,5.67,,,16.0,,
2.8,1.25,,,,7.0,4.5,,,,,,,12.75,,
2.8,,,2.0,4.25,,,,,,,,9.05,,,
3.0,6.0,,,,2.75,3.75,7.5,1.4,,4.67,,,12.5,,
2.2,4.0,,,,2.25,2.75,4.5,2.4,,3.17,,,9.0,,
2.8,3.5,,,,3.25,5.0,8.75,2.6,,5.67,,,11.75,,
4.4,5.0,,,,3.25,5.25,5.5,3.0,,4.67,,,13.5,,
3.6,7.25,,,,3.75,5.25,5.75,3.6,,4.92,,,16.25,,
3.6,3.25,,,,2.5,6.0,5.5,2.8,,4.67,,,11.75,,
2.2,3.0,,,,2.75,3.0,4.75,1.6,,3.5,,,8.75,,
1.8,3.0,,,,2.25,4.25,5.5,3.0,,4.0,,,9.5,,
2.8,5.0,,,,3.0,5.5,8.0,2.8,,5.5,,,13.5,,
3.4,7.0,,,,3.0,6.75,8.25,2.8,,6.0,,,16.75,,
5.6,6.5,,,,3.75,6.75,7.0,4.0,,5.83,,,17.0,,
4.2,6.0,,,,3.5,6.0,9.25,1.8,,6.25,,,15.5,12.0,
3.6,5.0,,,,3.75,5.0,8.25,3.8,,5.67,,,13.75,,
1.8,3.0,,,,2.75,4.5,6.25,1.2,,4.5,,,10.25,6.0,
1.8,4.0,,,,3.25,4.0,4.25,2.0,,3.83,,,11.25,,
5.4,6.75,,,,4.25,6.0,8.75,3.4,,6.33,,,17.0,,
5.4,7.25,,,,5.0,6.0,8.25,3.4,,6.42,,,18.25,,
3.6,6.5,,,,2.0,6.0,6.75,2.8,,4.92,,,14.5,,
4.8,6.75,,,,4.0,7.75,8.75,4.2,,6.83,,,18.5,,
4.6,5.25,1.75,3.5,3.0,3.0,4.75,7.5,2.4,2.75,5.08,9.85,11.1,13.0,,8.75
5.0,7.25,2.75,3.75,4.0,2.75,3.75,8.5,4.4,3.5,5.0,11.5,12.75,13.75,,12.15
