Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
5.2,7.75,,,,5.5,7.5,6.75,5.0,,6.58,,,20.75,,
3.6,5.58,,,,2.5,5.0,7.25,3.8,,4.92,,,13.08,,
5.8,8.25,,,,4.5,6.25,7.75,7.0,,6.17,,,19.0,,
6.0,6.75,,,,4.25,6.75,7.0,5.4,,6.0,,,17.75,,
5.0,6.5,,,,4.25,4.25,7.0,3.6,,5.17,,,15.0,,
3.2,6.25,,,,2.75,6.25,7.75,3.8,,5.58,,,15.25,,
6.2,9.0,,,,3.75,5.0,7.5,8.8,,5.42,,,17.75,24.0,
4.4,6.5,,,,2.25,4.5,8.5,3.8,,5.08,,,13.25,,
6.0,7.0,,,,5.75,7.5,7.75,5.8,,7.0,,,20.25,,
4.8,5.75,,,,4.75,6.0,8.75,5.6,,6.5,,,16.5,,
3.8,5.0,,,,3.5,6.5,8.25,3.6,,6.08,,,15.0,,
4.2,6.0,,,,4.0,6.0,8.75,4.4,,6.25,,,16.0,,
6.2,5.75,,,,4.5,8.0,7.75,5.2,,6.75,,,18.25,,
4.6,5.0,,,,4.75,7.25,8.25,3.2,,6.75,,,17.0,,
5.0,5.75,,,,4.25,6.25,7.0,4.6,,5.83,,,16.25,,
6.2,7.0,,,,5.75,6.75,9.75,7.4,,7.42,,,19.5,,
5.2,6.0,,,,4.75,6.5,8.25,4.2,,6.5,,,17.25,,
6.2,5.75,7.25,5.5,7.25,,,,7.4,6.67,,18.95,18.95,,,20.85
4.4,6.0,,,,3.25,6.5,7.75,2.8,,5.83,,,15.75,,
5.0,4.0,,,,2.75,6.0,9.0,4.6,,5.92,,,12.75,,
4.6,6.0,,,,4.0,6.0,8.25,3.2,,6.08,,,16.0,,
4.0,5.0,,,,3.25,5.5,8.0,5.8,,5.58,,,13.75,,
5.4,4.75,,,,3.5,4.25,8.25,4.2,,5.33,,,12.5,,
6.0,5.75,,,,3.75,6.25,8.75,3.8,,6.25,,,15.75,,
5.8,7.0,,,,5.25,6.5,7.75,8.6,,6.5,,,18.75,,
5.4,5.5,,,,3.25,5.25,8.0,3.2,,5.5,,,14.0,,
5.0,6.0,,,,5.5,7.5,7.0,5.4,,6.67,,,19.0,,
4.4,5.0,,,,4.75,4.0,7.0,3.8,,5.25,,,13.75,,
