Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
2.4,4.0,,,,2.5,4.25,6.25,3.0,,4.33,,,10.75,,
2.6,6.5,,,,4.5,6.5,6.5,1.8,,5.83,,,17.5,,
3.4,6.5,,,,5.0,6.5,9.5,3.4,,7.0,,,18.0,,
2.0,3.5,,,,2.75,4.75,6.25,2.4,,4.58,,,11.0,,
3.0,7.0,,,,2.0,5.75,7.25,2.4,,5.0,,,14.75,,
4.2,7.25,,,,3.25,5.5,6.25,2.4,,5.0,,,16.0,,
3.6,5.0,,,,2.75,3.0,5.5,2.2,,3.75,,,10.75,,
2.6,2.5,,,,2.75,5.0,5.0,2.8,,4.25,,,10.25,,
2.8,4.0,,,,3.0,6.0,6.5,2.4,,5.17,,,13.0,,
3.2,6.25,,,,4.0,5.75,7.5,2.2,,5.75,,,16.0,,
2.6,5.0,,,,3.5,5.0,4.0,2.2,,4.17,,,13.5,,
4.6,5.75,,,,5.75,8.25,7.0,3.2,,7.0,,,19.75,,
3.4,6.25,,,,3.5,6.75,7.25,2.6,,5.83,,,16.5,,
3.2,4.5,,,,2.25,4.75,5.75,2.8,,4.25,,,11.5,,
5.0,7.0,,,,5.0,6.25,8.5,3.2,,6.58,,,18.25,,
2.8,4.0,,,,4.75,5.0,6.0,3.6,,5.25,,,13.75,,
5.2,6.5,4.75,5.5,5.75,,,,3.4,5.33,,15.45,16.45,,,13.35
3.6,6.5,,,,5.0,7.0,6.5,3.0,,6.17,,,18.5,,
4.4,6.0,,,,3.5,5.0,6.75,2.4,,5.08,,,14.5,,
5.0,4.75,,,,3.75,4.25,7.75,4.2,,5.25,,,12.75,,
2.4,4.0,,,,3.75,4.75,4.75,2.8,,4.42,,,12.5,,
3.4,5.5,,,,3.0,4.0,6.75,3.0,,4.58,,,12.5,,
2.6,2.75,,,,2.75,5.25,6.0,3.2,,4.67,,,10.75,,
2.8,5.75,,,,3.25,4.0,7.5,3.0,,4.92,,,13.0,,
3.0,4.25,,,,1.75,2.75,4.0,2.8,,2.83,,,8.75,,
2.4,6.25,,,,2.75,3.0,7.25,2.0,,4.33,,,12.0,,
4.0,7.5,,,,3.75,5.0,8.5,3.0,,5.75,,,16.25,,
3.0,5.0,,,,3.0,4.75,5.25,1.2,,4.33,,,12.75,,
3.0,7.0,,,,3.5,5.0,5.75,2.2,,4.75,,,15.5,,
3.6,5.75,,,,4.25,5.5,4.75,3.8,,4.83,,,15.5,,
3.4,5.75,,,,1.75,4.25,5.0,3.0,,3.67,,,11.75,,
3.0,5.5,,,,3.5,6.5,7.5,1.8,,5.83,,,15.5,,
4.0,4.75,,,,3.5,4.5,6.25,2.4,,4.75,,,12.75,,
1.8,4.0,,,,4.25,5.75,6.75,2.6,,5.58,,,14.0,,
3.4,4.5,,,,2.25,5.25,7.0,2.6,,4.83,,,12.0,,
4.2,3.75,,,,4.0,4.75,8.0,2.4,,5.58,,,12.5,,
4.2,6.5,,,,3.75,5.5,6.25,3.6,,5.17,,,15.75,,
3.8,4.25,,,,3.75,5.25,7.0,2.4,,5.33,,,13.25,,
3.8,5.0,,,,4.25,7.0,7.25,3.4,,6.17,,,16.25,,
4.4,6.5,,,,5.0,5.5,7.5,2.2,,6.0,,,17.0,,
3.8,3.5,,,,4.75,4.5,7.0,2.2,,5.42,,,12.75,,
3.2,5.5,,,,3.0,4.0,8.0,2.6,,5.0,,,12.5,,
4.6,8.5,,,,4.5,6.0,8.75,3.6,,6.42,,,19.0,,
4.2,6.0,,,,4.75,6.5,8.25,3.2,,6.5,,,17.25,,
2.2,4.0,,,,3.5,5.5,6.25,2.6,,5.08,,,13.0,,
3.4,6.5,,,,3.75,5.75,7.0,3.2,,5.5,,,16.0,,
4.0,5.0,,,,4.5,7.25,8.75,3.0,,6.83,,,16.75,12.0,
3.4,5.75,,,,2.75,6.5,7.0,2.6,,5.42,,,15.0,,
3.4,7.0,,,,3.75,4.75,5.75,3.2,,4.75,,,15.5,,
3.4,5.5,,,,4.0,5.0,6.25,3.0,,5.08,,,14.5,,
2.8,3.0,,,,3.25,3.5,5.75,2.6,,4.17,,,9.75,,
2.4,2.0,,,,4.5,4.25,5.25,3.2,,4.67,,,10.75,,
3.0,5.5,,,,2.5,5.0,5.0,2.2,,4.17,,,13.0,,
3.4,6.75,,,,3.0,4.25,5.0,3.4,,4.08,,,14.0,,
3.8,8.25,,,,4.5,5.75,8.0,2.6,,6.08,,,18.5,,
3.8,6.75,,,,5.5,6.0,8.5,3.8,,6.67,,,18.25,,
4.6,3.25,,,,4.0,4.25,5.0,2.8,,4.42,,,11.5,,
3.6,3.5,,,,3.25,4.25,5.5,3.0,,4.33,,,11.0,,
2.8,5.75,,,,4.0,5.75,6.5,3.6,,5.42,,,15.5,,
4.0,5.0,,,,3.0,6.0,6.75,4.0,,5.25,,,14.0,13.0,
3.8,5.25,,,,3.0,4.25,3.5,2.6,,3.58,,,12.5,,
2.6,3.5,,,,2.75,3.25,5.25,2.0,,3.75,,,9.5,,
3.8,4.0,,,,3.75,3.5,6.25,3.4,,4.5,,,11.25,,
3.6,3.5,,,,2.5,4.75,5.0,3.8,,4.08,,,10.75,,
4.6,5.25,3.75,5.0,5.0,,,,2.4,4.58,,13.35,14.6,,,10.75
5.4,7.5,5.0,6.25,5.0,,,,3.4,5.42,,16.65,16.65,,,13.8
5.4,5.25,5.0,4.5,5.25,,,,3.2,4.92,,14.9,15.15,,,13.6
4.4,3.75,4.75,5.5,4.75,,,,2.6,5.0,,14.65,14.65,,,11.75
5.6,6.5,4.25,3.0,5.0,,,,2.4,4.08,,12.85,13.6,,,12.25
3.2,5.0,2.75,4.25,4.0,,,,2.6,3.67,,10.2,11.45,,,8.55
