Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.6,8.25,4.5,5.25,5.25,,,,3.8,5.0,,16.35,17.1,,18.65,14.9
5.4,7.0,5.5,4.0,5.25,,,,2.8,4.92,,14.9,14.65,,15.2,13.7
5.6,6.75,3.25,3.25,4.5,,,,4.2,3.67,,12.1,13.35,,16.55,13.05
5.2,6.5,3.0,4.0,4.0,,,,3.6,3.67,,12.2,13.2,,15.3,11.8
5.0,6.25,3.75,4.75,5.25,,,,2.0,4.58,,13.5,15.0,,13.25,10.75
4.4,6.5,3.0,3.5,4.5,,,,3.6,3.67,,10.9,12.4,,14.5,11.0
5.4,6.5,4.0,4.5,4.25,,,,3.6,4.25,,13.9,14.15,,15.5,13.0
5.0,6.75,4.75,7.75,5.0,,,,3.2,5.83,,17.5,17.75,,14.95,12.95
6.2,4.0,4.75,6.5,5.5,,,,3.4,5.58,,17.45,18.2,,13.6,14.35
2.6,7.5,,,,4.0,5.25,7.75,3.4,,5.67,,,16.75,13.5,
2.4,6.0,,,,4.25,4.0,6.0,2.2,,4.75,,,14.25,10.6,
5.0,6.5,,,,3.0,6.75,8.0,2.6,,5.92,,,16.25,14.1,
6.2,7.5,7.0,7.5,4.5,,,,2.6,6.33,,20.7,18.2,,16.3,15.8
3.4,4.25,,,,4.25,6.25,7.75,2.6,,6.08,,,14.75,10.25,
3.0,5.0,,,,1.5,5.25,6.5,3.0,,4.42,,,11.75,11.0,
2.8,4.5,,,,2.5,4.0,8.0,3.0,,4.83,,,11.0,10.3,
5.0,6.25,,,,3.75,6.75,9.0,3.4,,6.5,,,16.75,14.65,
3.6,5.5,,,,3.75,4.5,6.25,3.4,,4.83,,,13.75,12.5,
3.2,4.0,,,,4.5,5.75,6.25,1.6,,5.5,,,14.25,8.8,
3.4,3.25,,,,3.0,3.5,5.0,2.4,,3.83,,,9.75,9.05,
2.2,5.5,,,,3.75,4.25,6.25,1.2,,4.75,,,13.5,8.9,
3.8,6.25,,,,5.25,5.25,6.25,3.0,,5.58,,,16.75,13.05,
3.4,2.5,,,,2.75,4.25,5.25,2.8,,4.08,,,9.5,8.7,
6.2,6.0,,,,5.0,5.5,7.75,2.2,,6.08,,,16.5,14.4,
2.8,4.0,,,,2.25,3.5,5.0,2.6,,3.58,,,9.75,9.4,
5.0,6.0,,,,4.75,7.0,6.5,3.0,,6.08,,,17.75,14.0,
3.8,7.5,,,,4.5,5.5,8.75,3.4,,6.25,,,17.5,14.7,
3.4,5.0,,,,2.5,5.0,7.5,3.6,,5.0,,,12.5,12.0,
5.0,6.0,6.25,4.75,4.5,,,,3.8,5.17,,16.0,14.25,,14.8,15.05
3.0,6.25,,,,2.5,4.75,8.5,2.8,,5.25,,,13.5,12.05,
2.8,2.75,,,,4.0,4.75,6.5,2.4,,5.08,,,11.5,7.95,
4.4,7.0,2.75,5.25,3.75,,,,1.6,3.92,,12.4,13.4,,13.0,8.75
5.4,8.5,5.75,5.75,5.0,,,,4.4,5.5,,16.9,16.15,,18.3,15.55
6.0,7.75,4.5,4.5,6.0,,,,5.2,5.0,,15.0,16.5,,18.95,15.7
5.0,6.75,3.75,5.25,3.25,,,,2.2,4.08,,14.0,13.5,,13.95,10.95
6.6,5.5,6.25,5.25,5.75,,,,2.4,5.75,,18.1,17.6,,14.5,15.25
5.8,9.0,5.0,6.75,7.0,,,,4.0,6.25,,17.55,19.55,,18.8,14.8
5.2,7.0,2.0,3.0,4.25,,,,3.0,3.08,,10.2,12.45,,15.2,10.2
4.4,6.75,3.0,5.25,4.75,,,,2.4,4.33,,12.65,14.4,,13.55,9.8
5.4,4.0,3.25,4.75,4.0,,,,4.2,4.0,,13.4,14.15,,13.6,12.85
6.2,5.75,5.0,5.0,5.5,,,,3.2,5.17,,16.2,16.7,,15.15,14.4
5.4,7.25,4.5,5.25,6.25,,,,3.6,5.33,,15.15,16.9,,16.25,13.5
5.2,5.0,5.25,3.25,5.25,,,,3.8,4.58,,13.7,13.7,,14.0,14.25
5.0,2.0,,,,3.0,4.5,4.75,2.8,,4.08,,,9.5,9.8,
2.8,4.25,,,,4.0,2.75,5.75,3.4,,4.17,,,11.0,10.45,
3.8,4.0,3.75,3.5,2.75,,,,2.6,3.33,,11.05,10.05,,10.4,10.15
2.8,6.0,,,,4.5,6.0,8.25,3.2,,6.25,,,16.5,12.0,
4.0,4.5,,,,2.5,5.5,7.25,2.4,,5.08,,,12.5,10.9,
5.4,4.75,2.75,2.25,2.5,,,,3.2,2.5,,10.4,10.15,,13.35,11.35
2.6,3.0,,,,1.75,5.0,6.0,2.2,,4.25,,,9.75,7.8,
4.0,7.5,,,,3.5,5.0,8.75,2.6,,5.75,,,16.0,14.1,
5.8,7.0,,,,4.75,6.75,9.0,3.2,,6.83,,,18.5,16.0,
5.2,8.5,,,,5.25,7.5,9.5,4.2,,7.42,,,21.25,17.9,
4.4,5.5,5.0,4.5,3.5,,,,3.8,4.33,,13.9,12.4,,13.7,13.2
5.4,4.25,,,,1.75,4.5,4.5,3.0,,3.58,,,10.5,12.65,
5.2,5.0,,,,5.5,7.0,8.25,2.4,,6.92,,,17.5,12.6,
3.0,6.25,,,,4.0,5.0,8.25,2.2,,5.75,,,15.25,11.45,
4.8,8.5,,,,3.75,5.0,9.0,3.8,,5.92,,,17.25,17.1,
4.6,5.0,,,,2.25,6.0,8.0,2.6,,5.42,,,13.25,12.2,
5.2,8.0,,,,3.75,7.5,8.5,3.0,,6.58,,,19.25,16.2,
7.6,5.0,6.75,6.5,3.5,,,,1.4,5.58,,20.85,17.6,,14.0,15.75
5.8,6.75,5.75,4.0,4.25,,,,3.6,4.67,,15.55,14.05,,16.15,15.15
3.0,4.25,,,,2.5,4.0,,,,,,,10.75,,
2.4,4.0,,,,4.0,4.75,,,,,,,12.75,,
2.4,3.0,,,,2.5,4.5,,,,,,,10.0,,
2.4,5.75,,,,4.0,5.25,,,,,,,15.0,,
3.8,3.25,,,,3.5,3.25,,,,,,,10.0,,
3.2,4.25,,,,4.25,6.25,,,,,,,14.75,,
5.4,,,3.5,4.25,,,,,,,,13.15,,,
2.8,3.5,,,,3.0,4.25,,,,,,,10.75,,
4.4,5.75,,,,4.75,6.75,,,,,,,17.25,,
3.2,3.0,,,,2.75,3.5,,,,,,,9.25,,
5.6,,5.25,5.5,4.0,,,,,4.92,,16.35,15.1,,,
2.6,5.0,,,,3.25,3.75,,,,,,,12.0,,
3.4,5.5,,,,4.0,,,,,,,,,,
3.0,5.5,,,,3.5,3.5,,,,,,,12.5,,
2.8,2.75,,,,3.25,5.5,,,,,,,11.5,,
2.0,4.5,,,,2.5,6.5,,,,,,,13.5,,
3.8,3.75,,,,3.25,5.0,,,,,,,12.0,,
2.4,3.25,,,,3.5,5.25,,,,,,,12.0,,
2.6,5.5,,,,3.5,3.75,,,,,,,12.75,,
2.8,4.5,,,,5.5,7.0,,,,,,,17.0,,
