Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
1.4,2.0,,,,2.25,5.25,4.25,3.4,,3.92,,,9.5,6.8,
5.6,4.75,6.5,3.75,3.5,2.75,6.75,7.75,2.4,4.58,5.75,15.85,12.85,14.25,12.75,14.5
3.8,3.5,2.75,2.75,2.75,2.5,3.75,5.25,4.0,2.75,3.83,9.3,9.3,9.75,11.3,10.55
2.4,2.75,2.0,3.5,3.25,4.25,5.0,6.75,3.0,2.92,5.33,7.9,9.15,12.0,8.15,7.4
9.4,3.25,9.0,3.25,3.0,,,,9.6,5.08,,21.65,15.65,,22.25,28.0
2.8,5.0,3.0,3.75,3.5,2.75,5.25,6.5,1.4,3.42,4.83,9.55,10.05,13.0,9.2,7.2
3.6,6.5,2.5,4.0,4.75,,,,2.6,3.75,,10.1,12.35,,12.7,8.7
4.4,4.5,,,,2.5,4.25,6.0,4.4,,4.25,,,11.25,13.3,
3.4,6.0,3.5,2.25,3.25,3.0,5.0,6.5,3.6,3.0,4.83,9.15,8.9,14.0,13.0,10.5
2.6,4.0,,,,3.25,3.75,6.5,2.2,,4.5,,,11.0,8.8,
1.8,6.0,,,,2.25,3.0,7.75,1.8,,4.33,,,11.25,9.6,
6.8,6.0,4.5,6.25,5.0,,,,2.6,5.25,,17.55,18.05,,15.4,13.9
2.8,3.0,,,,2.75,4.0,7.5,1.8,,4.75,,,9.75,7.6,
6.0,6.25,6.25,6.75,3.25,,,,3.4,5.42,,19.0,16.0,,15.65,15.65
3.0,4.25,,,,3.0,4.0,4.75,2.2,,3.92,,,11.25,9.45,
4.8,5.0,6.25,4.75,3.75,,,,3.6,4.92,,15.8,13.3,,13.4,14.65
5.2,6.75,,,,5.75,5.25,9.75,3.2,,6.92,,,17.75,15.15,
5.8,6.0,,,,6.5,7.5,9.25,3.0,,7.75,,,20.0,14.8,
6.4,4.75,,,,4.25,7.75,9.0,3.0,,7.0,,,16.75,14.15,
2.6,4.0,,,,3.5,4.0,6.25,2.0,,4.58,,,11.5,8.6,
5.2,5.25,,,,5.0,5.5,8.75,2.8,,6.42,,,15.75,13.25,
2.6,3.0,,,,3.25,4.75,4.25,3.8,,4.08,,,11.0,9.4,
2.4,1.75,2.5,2.5,5.5,1.75,4.5,8.0,3.0,3.5,4.75,7.4,10.4,8.0,7.15,7.9
2.8,3.5,,,,2.75,3.75,6.75,3.2,,4.42,,,10.0,9.5,
3.4,3.5,,,,3.0,4.0,6.75,2.2,,4.58,,,10.5,9.1,
2.4,3.25,,,,3.0,2.0,4.5,3.0,,3.17,,,8.25,8.65,
2.2,2.75,3.75,3.25,4.0,3.75,4.25,5.5,3.0,3.67,4.5,9.2,9.45,10.75,7.95,8.95
4.4,6.0,1.75,2.5,3.5,6.25,6.0,7.75,3.8,2.58,6.67,8.65,10.4,18.25,14.2,9.95
6.4,6.5,,,,3.5,6.25,7.5,4.0,,5.75,,,16.25,16.9,
1.6,2.25,,,,3.0,4.0,4.5,3.0,,3.83,,,9.25,6.85,
3.8,5.75,,,,3.0,5.0,8.0,2.2,,5.33,,,13.75,11.75,
2.0,4.25,,,,3.25,3.75,4.0,2.6,,3.67,,,11.25,8.85,
3.4,7.5,,,,2.75,5.25,6.0,2.4,,4.67,,,15.5,13.3,
4.6,5.25,,,,3.25,5.5,6.0,1.4,,4.92,,,14.0,11.25,
6.4,2.5,,,,3.5,2.5,4.5,3.8,,3.5,,,8.5,12.7,
2.8,5.0,,,,3.25,4.0,4.5,2.0,,3.92,,,12.25,9.8,
2.2,6.0,,,,3.5,5.0,5.0,3.0,,4.5,,,14.5,11.2,
3.0,7.25,,,,3.5,7.0,5.75,2.6,,5.42,,,17.75,12.85,
3.2,5.5,,,,4.25,5.25,5.5,3.4,,5.0,,,15.0,12.1,
3.0,5.25,,,,4.0,4.5,7.0,3.2,,5.17,,,13.75,11.45,
2.8,5.5,,,,3.25,4.75,6.5,3.6,,4.83,,,13.5,11.9,
3.0,6.75,,,,3.75,6.5,7.0,1.6,,5.75,,,17.0,11.35,
2.2,3.5,,,,4.5,6.25,7.0,2.4,,5.92,,,14.25,8.1,
2.6,3.5,,,,2.25,2.0,4.0,2.2,,2.75,,,7.75,8.3,
4.2,6.5,,,,5.25,7.5,7.0,3.0,,6.58,,,19.25,13.7,
4.2,5.75,,,,6.25,5.5,6.75,1.8,,6.17,,,17.5,11.75,
2.6,6.75,,,,4.5,4.75,4.75,3.0,,4.67,,,16.0,12.35,
4.6,6.0,,,,4.5,6.75,7.5,2.8,,6.25,,,17.25,13.4,
4.0,5.0,,,,4.75,7.0,8.0,4.6,,6.58,,,16.75,13.6,
2.6,2.75,,,,3.0,4.5,4.25,2.0,,3.92,,,10.25,7.35,
2.4,2.75,,,,2.0,1.75,4.25,3.0,,2.67,,,6.5,8.15,
2.8,3.0,,,,2.25,4.5,6.5,2.2,,4.42,,,9.75,8.0,
2.2,5.0,,,,3.75,4.5,7.25,2.6,,5.17,,,13.25,9.8,
4.0,4.25,4.5,4.25,6.0,6.0,6.25,8.25,3.2,4.92,6.83,12.75,14.25,16.5,11.45,11.7
3.0,2.75,,,,2.0,3.5,6.25,2.4,,3.92,,,8.25,8.15,
2.6,3.25,2.75,2.5,3.5,3.5,3.5,6.5,3.4,2.92,4.5,7.85,8.6,10.25,9.25,8.75
3.0,4.0,,,,4.25,6.25,7.75,2.6,,6.08,,,14.5,9.6,
1.4,2.25,2.5,2.0,2.0,4.25,5.5,7.5,2.4,2.17,5.75,5.9,5.4,12.0,6.05,6.3
2.2,3.5,2.5,3.75,2.75,2.5,4.75,6.25,3.6,3.0,4.5,8.45,8.7,10.75,9.3,8.3
3.4,4.0,,,,4.0,3.0,6.25,3.6,,4.42,,,11.0,11.0,
1.6,3.0,,,,3.25,5.0,7.25,2.6,,5.17,,,11.25,7.2,
4.6,3.75,,,,4.0,5.5,6.75,1.8,,5.42,,,13.25,10.15,
2.4,2.0,3.25,2.0,3.5,2.5,5.0,5.5,3.2,2.92,4.33,7.65,7.9,9.5,7.6,8.85
4.2,5.75,,,,2.0,5.5,7.0,2.8,,4.83,,,13.25,12.75,
3.6,3.5,,,,4.0,4.75,5.25,2.2,,4.67,,,12.25,9.3,
3.2,3.5,3.0,4.5,5.0,4.75,6.5,8.25,3.0,4.17,6.5,10.7,12.7,14.75,9.7,9.2
1.8,3.5,,,,4.0,4.5,7.25,4.2,,5.25,,,12.0,9.5,
2.2,1.5,,,,2.5,2.5,2.0,2.6,,2.33,,,6.5,6.3,
2.0,4.0,,,,3.25,4.75,5.5,2.6,,4.5,,,12.0,8.6,
3.8,5.0,,,,3.5,5.5,7.25,2.8,,5.42,,,14.0,11.6,
5.6,6.75,,,,2.75,6.5,8.5,3.4,,5.92,,,16.0,15.75,
1.4,2.5,,,,3.5,5.5,5.75,2.6,,4.92,,,11.5,6.5,
3.8,4.5,3.5,3.5,2.25,4.75,4.75,7.0,2.8,3.08,5.5,10.8,9.55,14.0,11.1,10.1
2.6,2.25,2.5,3.5,3.0,3.25,3.0,6.5,2.4,3.0,4.25,8.6,9.1,8.5,7.25,7.5
