Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
5.4,7.0,6.75,7.5,4.25,,,,5.0,6.17,,19.65,17.15,,,17.15
6.0,5.0,6.5,4.5,5.0,,,,6.2,5.33,,17.0,15.5,,,18.7
7.6,6.25,6.25,7.5,5.75,,,,7.2,6.5,,21.35,20.85,,,21.05
4.2,7.0,,,,4.5,6.5,7.75,3.6,,6.25,,,18.0,,
6.6,7.0,7.75,6.75,5.25,,,,6.0,6.58,,21.1,18.6,,,20.35
5.6,4.5,7.5,7.0,5.5,,,,4.6,6.67,,20.1,18.1,,,17.7
5.6,7.75,4.25,2.5,4.25,,,,3.2,3.67,,12.35,12.35,,,13.05
7.4,6.75,7.0,6.0,5.0,,,,6.0,6.0,,20.4,18.4,,,20.4
4.8,6.5,4.0,1.5,4.75,,,,3.6,3.42,,10.3,11.05,,,12.4
5.4,5.75,3.75,3.0,3.0,,,,2.4,3.25,,12.15,11.4,,,11.55
4.8,6.0,5.75,6.75,5.75,,,,3.6,6.08,,17.3,17.3,,,14.15
5.6,7.5,7.5,5.5,4.5,,,,7.8,5.83,,18.6,15.6,,,20.9
3.8,4.25,,,,4.5,5.25,,,,,,,14.0,,
2.4,1.5,,,,3.5,5.0,,,,,,,10.0,,
4.2,3.0,,,,4.5,7.0,,,,,,,14.5,,
3.6,5.75,,,,3.25,4.75,,,,,,,13.75,,
2.4,3.0,,,,4.25,6.0,,,,,,,13.25,,
2.8,2.5,,,,3.5,4.5,,,,,,,10.5,,
1.6,3.5,,,,3.5,5.75,,,,,,,12.75,,
3.8,4.5,,,,4.5,4.75,,,,,,,13.75,,
2.0,4.5,,,,3.0,5.25,,,,,,,12.75,,
3.0,2.5,,,,3.75,6.75,,,,,,,13.0,,
4.0,2.25,,,,3.25,4.25,,,,,,,9.75,,
6.2,3.75,,,,5.5,7.0,,,,,,,16.25,,
6.0,6.5,6.5,3.0,4.5,,,,5.8,4.67,,15.5,13.5,,,18.3
4.6,6.5,5.0,5.0,5.25,,,,2.2,5.08,,14.6,14.85,,,11.8
7.2,8.0,7.25,4.25,5.25,,,,8.0,5.58,,18.7,16.7,,,22.45
6.8,7.25,8.0,5.5,4.5,,,,7.0,6.0,,20.3,16.8,,,21.8
6.4,5.25,6.5,2.5,3.5,,,,5.0,4.17,,15.4,12.4,,,17.9
5.8,7.25,3.5,4.5,4.75,,,,3.0,4.25,,13.8,15.05,,,12.3
7.4,6.0,7.75,6.25,2.5,,,,3.0,5.5,,21.4,16.15,,,18.15
4.8,5.0,3.5,3.75,4.75,,,,3.6,4.0,,12.05,13.3,,,11.9
5.6,7.0,7.25,4.75,4.0,,,,4.2,5.33,,17.6,14.35,,,17.05
3.2,3.25,,,,3.25,5.0,,,,,,,11.5,,
4.4,4.5,,,,4.5,6.75,,,,,,,15.75,,
3.6,3.5,,,,2.0,4.75,,,,,,,10.25,,
1.8,2.75,,,,3.0,3.5,,,,,,,9.25,,
4.8,3.5,,,,3.5,6.5,,,,,,,13.5,,
2.0,3.5,,,,3.5,4.25,,,,,,,11.25,,
3.2,3.5,,,,3.5,4.0,,,,,,,11.0,,
4.4,3.75,,,,3.75,5.75,,,,,,,13.25,,
3.8,4.5,,,,3.5,7.75,,,,,,,15.75,,
5.0,4.75,,,,2.25,4.25,7.75,1.6,,4.75,,,11.25,,
2.8,6.75,,,,2.75,6.0,5.25,3.2,,4.67,,,15.5,,
5.0,7.25,4.0,2.5,5.25,4.5,5.75,6.75,2.6,3.92,5.67,11.5,12.75,17.5,,11.6
5.4,7.5,,,,2.5,3.75,3.5,4.2,,3.25,,,13.75,,
4.4,6.25,,,,3.75,3.25,6.0,1.8,,4.33,,,13.25,,
4.4,6.75,,,,3.0,5.5,7.25,3.4,,5.25,,,15.25,,
4.2,6.25,,,,2.25,5.75,7.25,3.0,,5.08,,,14.25,,
6.2,7.0,,,,3.75,7.0,8.75,4.2,,6.5,,,17.75,,
6.8,6.5,,,,5.75,8.25,7.5,5.0,,7.17,,,20.5,,
5.2,6.5,,,,3.75,7.25,8.25,3.8,,6.42,,,17.5,,
6.0,5.5,,,,3.75,7.25,8.0,3.0,,6.33,,,16.5,,
6.0,7.25,,,,5.75,7.75,7.75,4.4,,7.08,,,20.75,,
3.6,6.25,1.5,3.0,4.25,3.0,4.75,7.75,2.6,2.92,5.17,8.1,10.85,14.0,,7.7
5.4,5.5,,,,4.25,8.0,7.75,1.8,,6.67,,,17.75,,
3.2,6.75,,,,2.25,5.0,6.25,2.2,,4.5,,,14.0,,
6.4,6.5,,,,5.25,6.75,8.5,3.4,,6.83,,,18.5,,
5.8,6.75,,,,4.25,6.25,7.5,2.8,,6.0,,,17.25,,
4.4,6.0,,,,3.75,6.0,7.75,3.4,,5.83,,,15.75,,
2.6,3.25,,,,2.0,4.25,6.5,2.6,,4.25,,,9.5,,
3.4,6.5,,,,4.25,6.5,7.25,6.8,,6.0,,,17.25,,
6.0,7.75,,,,5.25,7.5,7.5,7.8,,6.75,,,20.5,,
4.8,7.5,,,,5.25,8.0,9.0,5.0,,7.42,,,20.75,,
6.2,7.0,2.75,3.5,3.75,,,,3.8,3.33,,12.45,13.45,,17.0,12.75
5.8,8.25,,,,5.25,8.0,9.0,3.4,,7.42,,,21.5,,
5.2,7.0,,,,2.5,6.25,8.5,3.4,,5.75,,,15.75,,
6.4,7.75,,,,4.25,7.75,9.75,6.0,,7.25,,,19.75,,
6.4,8.0,,,,6.75,9.0,9.5,8.2,,8.42,,,23.75,,
5.4,5.75,5.0,3.5,3.5,,,,4.4,4.0,,13.9,12.4,,,14.8
6.0,7.25,,,,4.0,7.75,9.0,4.2,,6.92,,,19.0,,
3.4,3.75,,,,3.75,4.0,6.75,2.6,,4.83,,,11.5,,
5.0,4.5,,,,5.5,5.75,7.0,2.6,,6.08,,,15.75,,
5.4,5.25,5.75,6.0,6.75,,,,2.8,6.17,,17.15,18.15,,,13.95
4.8,6.5,,,,4.0,5.75,9.0,3.0,,6.25,,,16.25,,
4.8,3.25,6.0,4.0,3.75,,,,4.4,4.58,,14.8,12.55,,,15.2
4.6,4.5,3.0,3.5,5.5,,,,3.2,4.0,,11.1,13.6,,,10.8
5.4,5.5,5.5,3.0,3.25,,,,3.8,3.92,,13.9,11.65,,,14.7
5.0,4.5,,,,4.25,5.0,6.0,2.8,,5.08,,,13.75,,
5.4,4.0,,,,5.5,6.25,8.75,3.2,,6.83,,,15.75,,
6.8,5.5,,,,5.75,6.25,9.25,4.6,,7.08,,,17.5,,
5.0,4.25,,,,4.5,6.0,8.0,4.0,,6.17,,,14.75,,
6.2,6.5,,,,5.75,7.25,8.25,4.0,,7.08,,,19.5,,
5.2,5.0,,,,4.0,6.0,6.75,2.8,,5.58,,,15.0,13.0,
2.0,4.25,,,,2.5,3.75,,,,,,,10.5,,
2.4,2.25,,,,2.5,3.75,,,,,,,8.5,,
7.6,7.0,8.0,7.0,2.5,1.75,5.25,7.25,5.6,5.83,4.75,22.6,17.1,14.0,,21.2
6.4,4.5,4.25,6.0,5.75,,,,4.0,5.33,,16.65,18.15,,,14.65
7.2,5.75,6.75,4.25,5.75,3.5,6.5,7.75,3.8,5.58,5.92,18.2,17.2,15.75,,17.75
5.6,6.5,2.75,4.75,4.0,2.75,5.0,7.5,4.4,3.83,5.08,13.1,14.35,14.25,,12.75
6.6,4.5,6.25,5.0,2.0,,,,4.0,4.42,,17.85,13.6,,,16.85
6.4,5.0,5.0,5.0,3.0,4.25,5.25,7.25,3.0,4.33,5.58,16.4,14.4,14.5,,14.4
7.0,5.75,7.25,7.5,3.0,4.75,7.25,7.0,3.4,5.92,6.33,21.75,17.5,17.75,,17.65
8.2,4.5,8.5,9.0,4.5,,,,4.6,7.33,,25.7,21.7,,,21.3
8.0,4.5,9.0,8.5,4.25,3.75,6.5,7.25,7.4,7.25,5.83,25.5,20.75,14.75,,24.4
7.2,6.0,7.5,6.25,4.25,,,,5.0,6.0,,20.95,17.7,,,19.7
7.4,7.0,5.75,5.75,4.5,,,,3.0,5.33,,18.9,17.65,,,16.15
7.6,8.25,4.0,5.75,6.25,3.75,6.5,8.5,3.4,5.33,6.25,17.35,19.6,18.5,,15.0
6.6,5.25,6.5,3.5,4.0,3.5,6.0,9.0,7.4,4.67,6.17,16.6,14.1,14.75,,20.5
5.4,5.5,2.5,3.75,4.5,3.5,5.5,6.25,2.8,3.58,5.08,11.65,13.65,14.5,,10.7
7.2,5.5,4.0,5.25,5.5,,,,3.2,4.92,,16.45,17.95,,,14.4
5.4,7.75,,,,4.0,5.0,6.25,3.4,,5.08,,,16.75,,
5.4,6.75,,,,2.75,4.25,7.75,2.6,,4.92,,,13.75,,
7.0,6.5,6.5,6.5,2.75,,,,4.0,5.25,,20.0,16.25,,,17.5
3.2,3.0,,,,4.0,6.0,5.5,2.2,,5.17,,,13.0,,
4.4,6.25,3.0,5.0,4.25,4.0,7.75,7.75,3.2,4.08,6.5,12.4,13.65,18.0,,10.6
4.0,5.25,,,,3.75,6.25,6.25,3.2,,5.42,,,15.25,,
8.2,6.75,8.0,7.0,5.0,,,,5.2,6.67,,23.2,20.2,,,21.4
7.6,8.5,7.0,6.75,7.25,,,,3.6,7.0,,21.35,21.6,,,18.2
7.0,7.75,5.5,7.0,8.5,,,,3.2,7.0,,19.5,22.5,,,15.7
5.2,8.0,,,,3.75,5.25,7.5,4.2,,5.5,,,17.0,,
5.2,7.25,,,,3.75,6.0,7.5,3.8,,5.75,,,17.0,,
6.6,5.5,5.0,5.25,4.0,,,,2.8,4.75,,16.85,15.85,,,14.4
7.2,8.5,,,,3.75,7.5,8.25,5.2,,6.5,,,19.75,,
7.2,3.25,6.75,6.0,4.0,,,,3.6,5.58,,19.95,17.2,,,17.55
6.0,5.25,4.5,6.25,4.0,,,,2.2,4.92,,16.75,16.25,,,12.7
7.4,8.75,5.0,5.75,7.0,,,,6.4,5.92,,18.15,20.15,,,18.8
5.2,7.5,,,,3.25,5.5,7.25,4.0,,5.33,,,16.25,,
5.6,7.75,,,,4.75,5.25,7.75,5.2,,5.92,,,17.75,,
4.8,6.25,,,,5.75,6.75,8.25,5.2,,6.92,,,18.75,,
5.2,5.25,,,,4.25,6.5,6.5,4.6,,5.75,,,16.0,,
5.8,5.25,,,,4.5,5.25,6.75,4.0,,5.5,,,15.0,,
6.6,6.5,,,,4.0,4.5,7.0,5.8,,5.17,,,15.0,,
5.0,6.5,,,,3.25,6.25,7.5,4.4,,5.67,,,16.0,,
6.0,8.0,,,,4.5,7.0,9.0,5.8,,6.83,,,19.5,,
4.8,7.0,,,,5.0,6.5,6.0,6.2,,5.83,,,18.5,18.0,
5.4,6.0,,,,5.5,6.0,7.25,2.6,,6.25,,,17.5,14.0,
6.6,6.25,5.75,5.0,4.0,,,,5.0,4.92,,17.35,15.6,,,17.35
4.4,7.0,,,,2.5,5.5,5.75,1.8,,4.58,,,15.0,,
8.0,7.0,7.75,8.0,5.5,,,,5.6,7.08,,23.75,21.5,,,21.35
7.0,7.5,,,,7.25,4.5,5.5,3.0,,5.75,,,19.25,,
5.4,7.25,,,,4.25,7.0,7.5,3.8,,6.25,,,18.5,,
5.0,6.25,,,,3.75,7.25,8.25,3.6,,6.42,,,17.25,,
5.8,7.25,5.25,5.0,3.25,,,,4.4,4.5,,16.05,14.05,,,15.45
4.4,4.75,,,,3.5,4.5,6.25,3.8,,4.75,,,12.75,,
6.0,5.75,4.25,7.25,5.25,,,,2.4,5.58,,17.5,18.5,,,12.65
4.6,7.0,,,,4.75,7.5,8.5,3.8,,6.92,,,19.25,,
6.6,6.0,7.0,5.5,3.75,,,,5.6,5.42,,19.1,15.85,,,19.2
5.6,7.25,2.25,4.5,4.0,,,,4.2,3.58,,12.35,14.1,,,12.05
5.6,7.75,,,,3.5,6.25,7.75,3.8,,5.83,,,17.5,,
6.8,5.5,9.5,8.75,2.75,,,,3.4,7.0,,25.05,18.3,,,19.7
8.0,5.25,8.5,6.0,4.0,,,,8.6,6.17,,22.5,18.0,,,25.1
6.8,7.0,5.75,4.5,4.75,,,,3.4,5.0,,17.05,16.05,,,15.95
6.6,7.25,8.25,6.0,5.5,,,,4.2,6.58,,20.85,18.1,,,19.05
8.0,6.25,7.75,7.25,6.5,,,,3.2,7.17,,23.0,21.75,,,18.95
6.4,5.75,6.0,6.75,3.5,,,,2.8,5.42,,19.15,16.65,,,15.2
7.0,7.25,6.75,6.75,5.25,,,,4.8,6.25,,20.5,19.0,,,18.55
6.0,6.5,6.5,6.75,6.25,,,,4.0,6.5,,19.25,19.0,,,16.5
6.6,6.5,6.75,5.25,4.75,,,,5.0,5.58,,18.6,16.6,,,18.35
