Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.4,7.75,,,,4.75,7.75,9.0,4.8,,7.17,,,20.25,,
3.6,7.5,,,,3.0,7.75,8.75,4.2,,6.5,,,18.25,,
4.4,6.0,,,,4.5,6.0,8.0,4.8,,6.17,,,16.5,,
6.4,8.5,,,,6.5,9.25,9.25,5.6,,8.33,,,24.25,,
5.4,7.0,,,,5.5,6.25,9.5,5.4,,7.08,,,18.75,,
4.2,6.75,,,,4.25,4.75,8.0,3.8,,5.67,,,15.75,,
4.2,6.5,,,,3.0,5.75,7.5,3.8,,5.42,,,15.25,,
5.8,5.75,,,,4.0,6.0,7.75,2.8,,5.92,,,15.75,,
4.6,6.5,,,,4.5,6.0,7.5,2.0,,6.0,,,17.0,,
1.8,4.0,,,,4.0,6.25,8.5,2.8,,6.25,,,14.25,,
2.8,4.75,,,,3.5,7.0,8.75,3.2,,6.42,,,15.25,,
4.4,5.25,,,,3.5,6.75,8.0,2.6,,6.08,,,15.5,,
3.4,4.25,,,,4.25,5.0,8.75,3.8,,6.0,,,13.5,,
5.2,6.5,,,,2.25,5.5,7.75,4.6,,5.17,,,14.25,,
4.8,7.5,,,,8.0,8.5,6.25,5.4,,7.58,,,24.0,,
3.4,5.0,,,,3.0,4.75,7.75,2.8,,5.17,,,12.75,,
4.8,6.25,,,,3.75,5.5,7.75,1.6,,5.67,,,15.5,,
6.4,4.25,5.0,5.0,4.0,,,,2.6,4.67,,16.4,15.4,,,14.0
6.4,3.5,5.75,3.5,4.25,,,,4.8,4.5,,15.65,14.15,,,16.95
5.8,4.75,6.0,4.5,4.75,,,,2.4,5.08,,16.3,15.05,,,14.2
6.6,6.5,5.75,4.25,4.5,,,,2.8,4.83,,16.6,15.35,,,15.15
6.8,6.0,5.5,4.5,3.0,,,,2.8,4.33,,16.8,14.3,,,15.1
6.8,5.75,6.0,5.25,3.75,,,,4.2,5.0,,18.05,15.8,,,17.0
6.8,7.25,4.75,3.75,4.75,,,,6.2,4.42,,15.3,15.3,,,17.75
6.2,7.0,8.0,7.5,5.25,,,,6.0,6.92,,21.7,18.95,,,20.2
6.0,5.5,6.5,5.25,4.75,,,,4.0,5.5,,17.75,16.0,,,16.5
6.8,5.75,5.25,7.25,5.5,,,,5.2,6.0,,19.3,19.55,,,17.25
6.2,5.5,5.0,3.25,5.25,,,,6.4,4.5,,14.45,14.7,,,17.6
4.8,5.0,4.25,4.5,3.5,,,,1.6,4.08,,13.55,12.8,,,10.65
6.6,4.75,4.75,6.5,3.25,,,,5.8,4.83,,17.85,16.35,,,17.15
7.2,5.0,8.25,7.0,4.75,,,,4.2,6.67,,22.45,18.95,,,19.65
5.2,7.75,4.75,5.0,4.75,,,,5.8,4.83,,14.95,14.95,,,15.75
5.2,6.0,5.5,5.5,5.5,,,,3.0,5.5,,16.2,16.2,,,13.7
6.2,6.0,5.5,5.25,4.25,,,,3.8,5.0,,16.95,15.7,,16.0,15.5
6.8,7.5,6.25,7.5,6.25,,,,3.6,6.67,,20.55,20.55,,,16.65
5.6,7.0,5.75,6.25,5.0,,,,4.8,5.67,,17.6,16.85,,,16.15
6.8,6.0,7.75,8.5,5.75,,,,4.6,7.33,,23.05,21.05,,,19.15
6.8,7.0,6.25,4.25,5.0,,,,7.0,5.17,,17.3,16.05,,,20.05
6.0,5.5,6.0,3.5,4.0,,,,2.4,4.5,,15.5,13.5,,,14.4
8.0,5.25,8.0,8.0,3.5,,,,2.0,6.5,,24.0,19.5,,,18.0
6.4,6.0,,,,5.25,8.25,8.5,7.2,,7.33,,,19.5,,
6.2,7.25,,,,3.75,6.0,8.0,7.6,,5.92,,,17.0,,
6.0,6.0,,,,5.0,7.75,8.0,3.4,,6.92,,,18.75,,
4.2,4.75,,,,3.75,3.5,7.75,3.2,,5.0,,,12.0,,
4.8,6.5,,,,3.25,6.0,7.0,4.2,,5.42,,,15.75,,
1.4,3.25,,,,3.0,3.0,7.0,1.6,,4.33,,,9.25,,
4.6,8.0,,,,3.5,5.25,7.0,5.6,,5.25,,,16.75,,
6.6,6.25,,,,5.5,7.5,9.0,3.8,,7.33,,,19.25,,
4.6,6.75,,,,4.75,5.5,9.0,3.0,,6.42,,,17.0,,
3.6,4.5,,,,4.0,5.5,8.25,3.4,,5.92,,,14.0,,
3.2,3.25,,,,2.75,4.5,7.5,2.2,,4.92,,,10.5,,
5.6,6.75,,,,5.75,6.25,9.0,6.0,,7.0,,,18.75,,
5.8,8.25,,,,4.0,8.25,8.75,4.6,,7.0,,,20.5,,
4.4,4.0,,,,3.5,3.25,5.25,3.4,,4.0,,,10.75,,
3.0,4.75,,,,2.75,4.5,6.5,2.2,,4.58,,,12.0,,
6.0,5.75,,,,4.5,4.75,6.75,1.8,,5.33,,,15.0,,
3.8,4.0,,,,2.25,5.75,7.75,1.4,,5.25,,,12.0,,
2.6,4.75,,,,2.75,5.5,8.25,4.4,,5.5,,,13.0,,
4.2,5.75,,,,3.0,7.5,6.25,3.8,,5.58,,,16.25,,
4.0,6.25,,,,3.75,5.5,8.75,3.2,,6.0,,,15.5,,
2.0,6.75,,,,3.5,4.75,7.5,3.0,,5.25,,,15.0,,
4.4,7.0,,,,4.0,5.75,7.25,4.4,,5.67,,,16.75,,
5.6,8.0,,,,5.0,8.0,9.75,3.4,,7.58,,,21.0,17.0,
4.8,7.5,,,,4.0,6.5,8.75,3.8,,6.42,,,18.0,,
5.0,5.5,,,,4.25,5.25,7.75,2.8,,5.75,,,15.0,,
6.2,7.25,,,,4.5,5.5,7.75,6.4,,5.92,,,17.25,,
4.8,5.75,,,,3.75,5.25,9.25,6.6,,6.08,,,14.75,,
4.0,3.75,,,,4.5,7.25,8.0,2.2,,6.58,,,15.5,,
6.0,6.5,,,,6.5,6.75,9.0,5.0,,7.42,,,19.75,,
6.0,6.5,,,,2.75,5.0,8.25,4.6,,5.33,,,14.25,,
5.8,7.75,,,,3.5,5.75,7.0,4.0,,5.42,,,17.0,,
5.6,6.75,,,,4.75,6.75,9.25,4.0,,6.92,,,18.25,,
4.8,7.0,,,,5.0,7.0,9.25,3.2,,7.08,,,19.0,15.0,
3.0,5.5,,,,3.75,4.75,8.75,3.2,,5.75,,,14.0,,
5.2,6.0,,,,4.25,4.75,6.75,4.8,,5.25,,,15.0,16.0,
5.6,7.5,,,,4.25,6.5,8.0,6.8,,6.25,,,18.25,,
5.2,6.5,,,,3.5,7.0,8.5,3.0,,6.33,,,17.0,,
6.4,7.0,,,,3.75,6.25,8.5,3.8,,6.17,,,17.0,,
2.4,6.5,,,,3.5,4.25,8.0,3.4,,5.25,,,14.25,,
4.4,4.0,,,,1.75,4.0,6.0,2.6,,3.92,,,9.75,11.0,
5.2,5.5,,,,7.5,8.75,9.75,4.8,,8.67,,,21.75,,
5.6,5.75,,,,7.5,7.5,9.5,5.2,,8.17,,,20.75,,
4.2,5.0,,,,4.25,4.75,6.75,2.8,,5.25,,,14.0,12.0,
4.4,3.5,,,,3.0,4.25,5.25,2.6,,4.17,,,10.75,,
2.8,2.75,,,,3.0,4.75,7.0,2.6,,4.92,,,10.5,,
6.8,8.5,6.75,5.5,8.25,,,,6.6,6.83,,19.05,20.55,,,20.15
7.0,6.0,6.75,7.25,4.75,,,,2.6,6.25,,21.0,19.0,,,16.35
6.8,7.25,5.5,4.5,5.25,,,,5.4,5.08,,16.8,16.55,,,17.7
5.6,6.5,5.25,6.5,4.75,,,,3.4,5.5,,17.35,16.85,,,14.25
4.4,6.25,2.5,3.75,3.75,,,,3.0,3.33,,10.65,11.9,,,9.9
7.0,7.0,6.0,8.0,4.25,,,,4.4,6.08,,21.0,19.25,,,17.4
7.4,6.75,6.75,7.25,5.25,,,,3.6,6.42,,21.4,19.9,,,17.75
5.6,4.75,5.25,2.75,4.5,,,,4.4,4.17,,13.6,12.85,,,15.25
4.8,5.0,2.75,4.75,3.5,,,,4.2,3.67,,12.3,13.05,,14.0,11.75
5.8,6.25,4.0,5.0,5.5,,,,3.4,4.83,,14.8,16.3,,,13.2
5.4,6.0,4.5,4.5,4.0,,,,6.0,4.33,,14.4,13.9,,,15.9
7.0,5.0,6.25,4.5,4.25,,,,4.2,5.0,,17.75,15.75,,,17.45
5.4,6.25,4.5,5.0,4.25,,,,4.0,4.58,,14.9,14.65,,,13.9
7.6,6.0,6.75,6.25,4.25,,,,4.6,5.75,,20.6,18.1,,,18.95
6.6,5.25,6.75,7.25,3.75,,,,4.6,5.92,,20.6,17.6,,,17.95
5.6,6.0,5.5,3.25,5.0,,,,3.4,4.58,,14.35,13.85,,15.0,14.5
7.0,7.25,,,,7.25,6.5,8.5,8.4,,7.42,,,21.0,,
6.2,7.5,,,,4.0,4.5,7.75,4.4,,5.42,,,16.0,,
4.4,7.25,,,,3.5,5.0,8.25,4.2,,5.58,,,15.75,,
6.2,8.5,,,,6.25,7.0,8.5,5.4,,7.25,,,21.75,,
3.6,6.75,,,,2.25,5.0,7.5,3.2,,4.92,,,14.0,,
5.0,7.0,,,,4.5,5.5,8.25,3.0,,6.08,,,17.0,15.0,
3.4,3.75,,,,3.0,5.75,7.0,3.0,,5.25,,,12.5,,
5.8,9.0,,,,5.0,7.75,8.75,6.0,,7.17,,,21.75,,
4.2,5.5,,,,3.75,5.5,7.25,2.6,,5.5,,,14.75,,
3.8,3.25,,,,3.25,4.75,7.25,3.0,,5.08,,,11.25,,
4.2,3.5,,,,3.25,3.0,5.75,3.6,,4.0,,,9.75,,
4.8,5.5,,,,3.0,6.25,7.75,3.0,,5.67,,,14.75,,
5.2,4.0,,,,2.25,4.75,6.5,3.6,,4.5,,,11.0,,
5.4,5.5,,,,4.75,5.25,8.75,2.2,,6.25,,,15.5,,
3.2,3.75,,,,4.0,5.0,9.0,3.4,,6.0,,,12.75,,
3.4,6.75,,,,3.75,4.5,7.75,1.6,,5.33,,,15.0,,
5.8,8.5,,,,4.0,6.0,8.5,5.2,,6.17,,,18.5,,
5.8,7.25,,,,5.0,5.25,8.75,5.4,,6.33,,,17.5,,
5.0,5.0,,,,5.5,6.25,8.0,3.8,,6.58,,,16.75,,
5.0,5.5,,,,4.25,5.75,8.25,6.4,,6.08,,,15.5,,
4.2,6.5,,,,4.0,4.75,7.0,3.0,,5.25,,,15.25,,
5.2,5.5,,,,5.0,5.75,7.75,4.4,,6.17,,,16.25,,
3.0,2.0,,,,2.25,2.25,2.5,3.8,,2.33,,,6.5,,
4.0,5.75,,,,3.25,4.5,8.0,3.0,,5.25,,,13.5,,
3.6,5.25,,,,2.25,5.25,6.25,2.4,,4.58,,,12.75,,
4.0,4.5,,,,3.75,6.5,7.0,4.0,,5.75,,,14.75,,
2.4,3.0,,,,2.5,4.5,5.25,3.6,,4.08,,,10.0,9.0,
3.6,2.5,,,,2.75,2.25,4.75,3.0,,3.25,,,7.5,,
4.2,6.75,,,,4.25,6.75,6.75,2.2,,5.92,,,17.75,,
3.6,4.5,,,,3.25,4.5,7.5,2.6,,5.08,,,12.25,,
4.2,3.75,,,,4.5,4.75,5.25,3.0,,4.83,,,13.0,,
5.2,5.5,,,,3.0,6.0,8.75,4.0,,5.92,,,14.5,,
3.0,3.25,,,,3.0,6.5,6.5,2.8,,5.33,,,12.75,,
3.4,4.0,,,,2.75,5.5,6.25,3.4,,4.83,,,12.25,,
6.0,6.75,,,,3.75,7.0,7.25,5.0,,6.0,,,17.5,,
4.8,6.25,,,,4.5,7.75,8.25,4.0,,6.83,,,18.5,,
4.8,6.75,,,,3.25,6.25,7.25,3.4,,5.58,,,16.25,,
4.2,4.0,,,,3.0,4.5,6.25,3.8,,4.58,,,11.5,12.0,
3.4,5.75,,,,2.5,4.25,7.25,2.4,,4.67,,,12.5,,
3.0,3.25,,,,3.25,5.25,7.0,2.4,,5.17,,,11.75,,
4.2,6.0,,,,2.75,5.25,8.0,3.0,,5.33,,,14.0,,
6.2,6.5,,,,5.25,7.75,8.25,4.2,,7.08,,,19.5,,
3.0,2.75,,,,2.75,4.75,6.0,3.0,,4.5,,,10.25,,
5.2,6.75,,,,6.0,6.0,7.5,4.2,,6.5,,,18.75,,
4.6,7.5,,,,4.75,6.0,7.75,3.6,,6.17,,,18.25,,
5.2,5.5,,,,2.25,5.0,6.0,3.0,,4.42,,,12.75,,
3.6,5.0,,,,3.5,2.75,5.0,2.8,,3.75,,,11.25,,
3.4,2.75,,,,2.25,5.25,7.0,2.6,,4.83,,,10.25,,
