Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.0,7.0,4.5,6.0,7.0,,,,3.0,5.83,,16.5,19.0,,16.0,13.5
7.0,7.0,4.25,6.75,6.75,,,,3.8,5.92,,18.0,20.5,,,15.05
4.2,6.5,3.0,5.0,6.0,,,,5.4,4.67,,12.2,15.2,,,12.6
4.0,7.5,3.75,3.0,4.25,,,,6.8,3.67,,10.75,11.25,,,14.55
5.8,7.25,4.25,4.25,3.25,,,,2.4,3.92,,14.3,13.3,,,12.45
6.0,8.0,5.25,7.75,7.25,,,,5.4,6.75,,19.0,21.0,,,16.65
5.0,7.09,3.5,4.75,6.5,,,,3.0,4.92,,13.25,16.25,,,11.5
6.2,7.5,4.5,7.25,5.5,,,,4.4,5.75,,17.95,18.95,,,15.1
4.6,4.25,5.5,4.75,4.75,,,,3.8,5.0,,14.85,14.1,,,13.9
5.0,6.25,4.0,4.75,6.0,,,,2.8,4.92,,13.75,15.75,,,11.8
3.8,7.5,3.75,3.5,4.75,,,,2.4,4.0,,11.05,12.05,,,9.95
5.0,7.25,4.0,5.25,6.25,,,,5.6,5.17,,14.25,16.5,,,14.6
4.6,6.25,2.5,4.0,5.0,,,,2.2,3.83,,11.1,13.6,,,9.3
6.2,8.0,3.75,6.5,5.75,,,,5.2,5.33,,16.45,18.45,,,15.15
5.0,5.83,2.5,2.25,3.75,,,,4.0,2.83,,9.75,11.0,,,11.5
4.8,4.5,3.0,5.0,1.75,,,,2.0,3.25,,12.8,11.55,,,9.8
6.0,7.75,4.0,3.5,4.75,,,,2.8,4.08,,13.5,14.25,,,12.8
4.6,7.5,4.0,4.75,3.25,,,,3.0,4.0,,13.35,12.6,,,11.6
4.2,7.41,5.0,4.5,4.0,,,,4.4,4.5,,13.7,12.7,,,13.6
3.2,2.5,,,,3.5,5.0,,,,,,,11.0,,
2.8,2.5,,,,2.0,4.25,,,,,,,8.75,,
4.8,7.5,,,,5.25,6.25,,,,,,,19.0,,
3.4,7.5,,,,2.75,5.25,,,,,,,15.5,,
,8.0,,,,5.0,5.0,,,,,,,18.0,,
2.4,3.5,,,,3.25,6.0,,,,,,,12.75,,
2.8,6.25,,,,5.5,4.75,,,,,,,16.5,,
3.8,3.0,,,,3.5,4.0,,,,,,,10.5,,
2.2,2.75,,,,3.25,4.75,,,,,,,10.75,,
5.2,,,3.25,5.25,,,,,,,,13.7,,,
6.0,7.0,6.75,5.75,6.25,,,,3.6,6.25,,18.5,18.0,,,16.35
6.0,8.5,,,,7.5,8.25,9.75,5.4,,8.5,,,24.25,,
5.2,7.0,,,,4.0,5.25,7.5,4.0,,5.58,,,16.25,,
4.0,8.0,3.25,5.25,6.0,,,,3.2,4.83,,12.5,15.25,,,10.45
6.2,8.0,6.25,5.5,5.5,,,,4.2,5.75,,17.95,17.2,,,16.65
3.8,5.0,,,,2.0,6.0,8.0,3.4,,5.33,,,13.0,,
6.4,7.0,4.5,6.0,5.75,,,,3.2,5.42,,16.9,18.15,,,14.1
3.0,8.25,4.25,4.0,2.75,,,,2.8,3.67,,11.25,9.75,,,10.05
4.2,7.0,2.5,2.75,3.25,3.25,4.75,7.25,2.2,2.83,5.08,9.45,10.2,15.0,,8.9
4.0,8.5,3.25,3.0,5.75,,,,3.4,4.0,,10.25,12.75,,,10.65
5.2,5.0,5.25,4.0,5.0,,,,1.8,4.75,,14.45,14.2,,12.0,12.25
4.8,8.5,2.0,2.25,4.0,4.0,5.5,6.25,3.2,2.75,5.25,9.05,11.05,18.0,,10.0
4.0,4.5,1.5,3.0,3.5,,,,2.6,2.67,,8.5,10.5,,,8.1
5.6,8.75,5.75,5.0,4.75,,,,3.8,5.17,,16.35,15.35,,,15.15
3.8,6.25,3.5,1.75,2.25,2.5,6.0,5.25,2.6,2.5,4.58,9.05,7.8,14.75,,9.9
3.2,7.0,4.25,3.5,5.0,,,,2.4,4.25,,10.95,11.7,,,9.85
5.4,7.5,3.75,6.5,5.5,,,,3.0,5.25,,15.65,17.4,,,12.15
3.8,6.5,3.75,4.25,6.5,,,,3.8,4.83,,11.8,14.55,,,11.35
4.0,6.5,3.0,4.25,3.5,4.5,4.5,5.5,2.0,3.58,4.83,11.25,11.75,15.5,,9.0
3.2,8.75,4.5,3.75,5.5,,,,4.0,4.58,,11.45,12.45,,,11.7
3.8,4.5,2.5,3.75,4.0,4.75,5.25,8.0,3.4,3.42,6.0,10.05,11.55,14.5,,9.7
3.2,3.75,2.25,2.25,3.0,3.5,7.0,7.0,2.4,2.5,5.83,7.7,8.45,14.25,,7.85
4.6,4.67,3.75,3.25,3.25,3.5,3.75,6.75,3.8,3.42,4.67,11.6,11.1,11.92,,12.15
2.2,6.5,,,,2.75,4.5,6.25,2.2,,4.5,,,13.75,,
5.2,4.5,5.5,2.25,3.5,2.25,4.0,7.75,2.8,3.75,4.67,12.95,10.95,10.75,,13.5
4.4,3.5,,,,4.5,4.25,7.25,2.6,,5.33,,,12.25,,
2.6,6.5,2.25,2.0,3.5,4.25,4.5,7.25,3.0,2.58,5.33,6.85,8.1,15.25,,7.85
2.8,4.67,2.5,4.5,3.5,2.5,3.75,5.0,2.2,3.5,3.75,9.8,10.8,10.92,,7.5
2.8,6.75,3.0,3.0,5.25,3.0,5.25,7.0,4.0,3.75,5.08,8.8,11.05,15.0,,9.8
4.4,7.0,3.25,2.75,3.25,4.5,6.25,8.25,3.2,3.08,6.33,10.4,10.4,17.75,,10.85
4.2,5.5,5.0,3.0,4.25,2.75,4.25,7.25,2.8,4.08,4.75,12.2,11.45,12.5,,12.0
5.8,8.25,,,,5.25,6.0,7.75,4.0,,6.33,,,19.5,,
4.2,7.0,,,,6.0,6.25,8.75,3.8,,7.0,,,19.25,15.0,
5.6,7.5,5.25,6.75,5.25,,,,5.2,5.75,,17.6,17.6,,,16.05
3.8,7.0,2.5,4.5,5.5,,,,3.0,4.17,,10.8,13.8,,,9.3
5.8,9.0,3.75,6.25,6.75,,,,5.6,5.58,,15.8,18.8,,,15.15
5.2,9.0,,,,3.75,5.25,8.5,3.4,,5.83,,,18.0,,
6.4,7.0,5.25,4.75,5.75,,,,7.4,5.25,,16.4,16.9,,,19.05
6.4,7.75,6.25,6.25,5.25,,,,4.6,5.92,,18.9,17.9,,,17.25
4.0,5.5,3.25,3.75,2.75,,,,2.8,3.25,,11.0,10.5,,,10.05
5.0,6.75,4.5,6.75,6.0,,,,4.6,5.75,,16.25,17.75,,,14.1
