Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
4.8,6.75,,,,5.5,6.75,8.25,2.6,,6.83,,,19.0,,
3.4,3.75,,,,3.25,4.5,6.0,2.4,,4.58,,,11.5,,
1.8,5.5,,,,2.5,5.0,5.75,3.6,,4.42,,,13.0,,
4.2,6.0,,,,2.75,6.0,8.0,2.8,,5.58,,,14.75,13.0,
1.8,4.0,,,,2.0,4.25,5.25,2.6,,3.83,,,10.25,,
4.6,6.25,,,,3.5,6.0,7.25,3.4,,5.58,,,15.75,,
3.8,3.25,,,,2.25,3.0,5.75,1.6,,3.67,,,8.5,,
3.8,3.25,,,,2.75,4.5,6.0,1.6,,4.42,,,10.5,,
1.6,5.25,,,,2.75,3.25,6.25,3.2,,4.08,,,11.25,,
3.6,4.5,,,,2.5,5.0,6.75,3.0,,4.75,,,12.0,,
3.0,5.5,,,,5.5,7.25,8.5,3.2,,7.08,,,18.25,,
2.4,4.0,,,,2.75,5.75,5.5,3.0,,4.67,,,12.5,,
4.2,6.5,,,,3.75,5.25,6.75,2.8,,5.25,,,15.5,,
3.8,5.0,,,,3.75,5.75,7.0,3.4,,5.5,,,14.5,,
3.4,3.25,,,,2.5,4.0,3.25,2.6,,3.25,,,9.75,,
4.2,8.25,,,,3.25,4.75,7.25,2.8,,5.08,,,16.25,,
1.6,3.75,,,,1.75,4.25,4.5,1.8,,3.5,,,9.75,,
1.8,4.0,,,,3.5,4.0,4.5,3.8,,4.0,,,11.5,,
6.4,7.0,,,,4.75,8.0,8.75,4.8,,7.17,,,19.75,,
2.2,4.0,3.5,3.0,2.75,3.5,5.0,4.5,2.8,3.08,4.33,8.7,7.95,12.5,9.0,8.5
2.2,4.25,,,,2.0,4.75,6.0,3.6,,4.25,,,11.0,,
4.4,4.0,2.5,2.5,4.75,5.75,7.0,8.5,7.0,3.25,7.08,9.4,11.65,16.75,,13.9
2.6,5.25,,,,2.5,3.25,6.75,2.0,,4.17,,,11.0,,
2.4,6.25,,,,2.5,4.5,7.75,3.4,,4.92,,,13.25,,
1.6,3.0,,,,2.25,1.75,3.25,3.2,,2.42,,,7.0,,
2.4,7.5,,,,3.25,5.25,7.0,3.4,,5.17,,,16.0,,
1.6,5.0,,,,4.75,4.75,5.75,3.8,,5.08,,,14.5,,
6.2,6.5,3.75,4.5,4.75,,,,3.2,4.33,,14.45,15.45,,,13.15
4.2,7.5,2.75,2.75,3.5,3.5,3.75,6.5,2.8,3.0,4.58,9.7,10.45,14.75,,9.75
3.2,5.25,3.25,2.75,2.0,2.5,3.5,5.75,2.4,2.67,3.92,9.2,7.95,11.25,,8.85
2.6,6.75,,,,3.5,6.5,6.75,3.2,,5.58,,,16.75,,
3.0,4.5,,,,3.0,4.5,4.0,1.8,,3.83,,,12.0,,
2.2,4.0,,,,3.75,4.0,3.5,3.2,,3.75,,,11.75,,
2.2,5.25,,,,4.0,2.0,4.0,3.8,,3.33,,,11.25,,
2.6,6.25,,,,4.25,6.5,7.0,4.4,,5.92,,,17.0,,
3.4,6.5,,,,5.0,6.25,7.75,3.6,,6.33,,,17.75,,
4.4,3.0,,,,2.5,5.25,7.25,2.4,,5.0,,,10.75,,
3.2,3.0,,,,3.25,4.5,5.5,2.4,,4.42,,,10.75,,
5.0,5.0,,,,3.25,5.5,5.75,3.0,,4.83,,,13.75,13.0,
3.0,2.5,,,,3.5,4.5,5.0,3.2,,4.33,,,10.5,,
