Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.4,6.0,5.0,3.75,4.75,,,,3.2,4.5,,15.15,14.9,,,14.6
3.8,3.75,,,,3.25,4.5,5.75,4.6,,4.5,,,11.5,,
6.8,5.0,5.25,5.25,3.25,,,,4.8,4.58,,17.3,15.3,,,16.85
6.8,4.75,6.0,5.25,5.25,,,,3.4,5.5,,18.05,17.3,,,16.2
3.6,3.5,,,,4.5,6.25,7.5,4.4,,6.08,,,14.25,,
2.2,5.25,,,,3.5,4.75,7.5,3.2,,5.25,,,13.5,,
5.8,3.25,4.25,5.25,4.0,,,,3.8,4.5,,15.3,15.05,,,13.85
6.0,7.25,,,,5.75,6.75,8.25,3.0,,6.92,,,19.75,,
5.2,7.5,,,,4.25,6.75,8.75,3.4,,6.58,,,18.5,,
4.0,6.5,,,,3.75,5.25,7.25,5.2,,5.42,,,15.5,,
6.2,3.0,4.0,1.25,5.0,,,,2.4,3.42,,11.45,12.45,,,12.6
6.2,5.75,4.25,7.5,7.0,,,,3.8,6.25,,17.95,20.7,,,14.25
5.4,5.5,,,,4.5,6.25,7.75,3.8,,6.17,,,16.25,,
4.2,5.75,,,,2.75,4.5,7.25,4.2,,4.83,,,13.0,,
3.6,5.0,,,,2.75,6.25,6.0,3.4,,5.0,,,14.0,12.0,
2.6,3.5,,,,2.25,3.5,,,,,,,9.25,,
3.4,7.0,,,,6.5,,,,,,,,,,
4.2,4.25,,,,5.0,,,,,,,,,,
4.4,6.5,,,,5.25,,,,,,,,,,
5.4,6.5,4.75,6.0,5.0,,,,3.6,5.25,,16.15,16.4,,,13.75
3.2,5.5,,,,4.25,4.75,6.25,3.0,,5.08,,,14.5,,
6.6,5.5,6.75,6.0,5.5,,,,4.4,6.08,,19.35,18.1,,,17.75
5.4,6.5,5.25,4.75,6.0,,,,3.8,5.33,,15.4,16.15,,,14.45
5.2,4.25,4.0,3.75,3.75,,,,2.4,3.83,,12.95,12.7,,,11.6
5.6,6.75,,,,4.25,6.75,7.25,2.6,,6.08,,,17.75,,
2.4,6.0,,,,2.5,5.5,6.0,2.2,,4.67,,,14.0,,
4.2,4.5,,,,4.0,6.25,5.75,4.6,,5.33,,,14.75,,
3.8,4.5,,,,5.0,7.25,7.5,3.2,,6.58,,,16.75,,
3.2,3.25,,,,3.25,4.5,4.0,2.8,,3.92,,,11.0,,
5.4,5.5,,,,5.25,5.75,7.5,3.6,,6.17,,,16.5,,
5.2,6.75,5.0,5.0,4.5,,,,3.8,4.83,,15.2,14.7,,,14.0
4.0,3.25,,,,3.25,6.25,5.5,3.0,,5.0,,,12.75,,
2.0,4.5,,,,3.25,3.75,6.25,3.2,,4.42,,,11.5,,
4.6,5.0,,,,3.25,4.5,6.0,3.2,,4.58,,,12.75,,
5.0,6.25,,,,4.75,7.25,8.5,4.0,,6.83,,,18.25,,
3.8,5.5,3.25,2.5,3.0,,,,2.8,2.92,,9.55,9.3,,,9.85
3.8,5.0,,,,5.25,,,,,,,,,,
1.6,1.5,,,,3.0,2.5,,,,,,,7.0,,
4.4,3.5,,,,3.0,,,,,,,,,,
2.8,6.0,,,,4.5,,,,,,,,,,
2.0,2.5,,,,2.75,,,,,,,,,,
3.8,7.25,,,,4.75,,,,,,,,,,
5.6,5.75,,,,7.0,,,,,,,,,,
3.6,4.0,,,,3.0,,,,,,,,,,
4.0,3.75,,,,2.5,4.75,,,,,,,11.0,,
3.2,4.5,,,,3.5,3.5,,,,,,,11.5,,
4.2,6.25,,,,4.5,,,,,,,,,,
5.4,3.25,,,,3.75,,,,,,,,,,
6.0,6.0,,,,4.5,,,,,,,,,,
3.8,4.75,,,,3.75,6.5,,,,,,,15.0,,
1.8,1.5,,,,3.25,,,,,,,,,,
3.4,4.5,,,,3.75,5.75,,,,,,,14.0,,
4.2,4.75,,,,3.0,4.5,,,,,,,12.25,,
4.0,3.75,,,,3.0,,,,,,,,,,
4.2,4.0,,,,3.75,8.0,,,,,,,15.75,,
3.6,4.0,,,,2.25,4.0,,,,,,,10.25,,
,6.75,,,,5.5,8.5,,,,,,,20.75,,
3.4,6.25,,,,3.0,6.5,,,,,,,15.75,,
2.8,3.0,,,,5.0,4.0,,,,,,,12.0,,
3.6,3.75,,,,3.5,4.0,,,,,,,11.25,,
4.6,7.0,5.0,4.75,4.25,,,,4.0,4.67,,14.35,13.6,,,13.6
5.4,5.0,3.75,6.25,3.75,,,,4.6,4.58,,15.4,15.4,,15.0,13.75
5.0,6.5,3.0,4.5,5.25,,,,3.6,4.25,,12.5,14.75,,,11.6
3.6,5.0,2.5,4.25,3.0,,,,4.2,3.25,,10.35,10.85,,,10.3
5.8,7.75,2.25,5.0,5.25,,,,4.2,4.17,,13.05,16.05,,,12.25
6.0,5.5,3.5,5.25,5.5,,,,4.4,4.75,,14.75,16.75,,,13.9
5.8,4.5,3.25,6.0,4.5,,,,3.0,4.58,,15.05,16.3,,,12.05
2.0,2.25,,,,4.5,4.5,4.0,3.6,,4.33,,,11.25,,
2.2,,,3.5,3.25,,,,,,,,8.95,,,
2.0,,,2.5,3.5,,,,,,,,8.0,,,
2.8,4.0,,,,2.75,6.0,6.25,3.6,,5.0,,,12.75,,
3.4,5.25,,,,3.25,6.5,8.25,3.2,,6.0,,,15.0,,
4.6,5.5,,,,4.25,4.75,7.75,1.4,,5.58,,,14.5,,
3.6,4.0,,,,4.25,4.75,6.75,1.8,,5.25,,,13.0,,
3.4,1.75,,,,2.75,4.25,5.5,2.2,,4.17,,,8.75,,
4.2,6.5,,,,2.5,5.0,6.25,3.4,,4.58,,,14.0,,
5.6,5.75,,,,4.75,7.25,8.75,3.2,,6.92,,,17.75,,
4.8,4.75,,,,3.25,4.5,6.75,3.2,,4.83,,,12.5,,
4.4,8.0,,,,6.5,7.25,8.0,3.4,,7.25,,,21.75,,
4.2,6.25,,,,4.5,7.75,8.5,3.0,,6.92,,,18.5,,
4.8,7.5,,,,5.5,8.5,8.25,4.4,,7.42,,,21.5,,
4.2,5.25,,,,3.0,5.0,7.5,3.2,,5.17,,,13.25,,
4.8,4.25,,,,5.75,7.5,8.25,3.8,,7.17,,,17.5,,
4.6,6.0,,,,7.5,7.75,8.0,1.8,,7.75,,,21.25,,
4.6,5.25,,,,4.0,5.5,8.0,2.4,,5.83,,,14.75,,
5.4,5.0,,,,4.0,6.25,7.0,2.4,,5.75,,,15.25,,
,3.5,,,,3.75,2.75,,,,,,,10.0,,
3.8,2.75,,,,2.25,,,,,,,,,,
3.4,3.25,,,,2.25,4.25,,,,,,,9.75,,
3.6,2.5,,,,2.75,3.75,,,,,,,9.0,,
3.2,4.75,,,,4.0,,,,,,,,,,
3.2,3.25,,,,5.5,,,,,,,,,,
2.8,5.75,,,,3.25,4.25,,,,,,,13.25,,
4.6,3.25,,,,1.75,4.75,,,,,,,9.75,,
4.4,2.25,,,,4.5,,,,,,,,,,
3.8,3.0,,,,4.5,6.0,,,,,,,13.5,,
1.6,4.5,,,,3.75,,,,,,,,,,
5.2,7.25,4.5,6.0,5.5,,,,2.4,5.33,,15.7,16.7,,,12.1
6.6,5.25,4.25,5.25,4.5,,,,5.0,4.67,,16.1,16.35,,,15.85
4.2,5.75,3.5,3.75,4.0,,,,1.0,3.75,,11.45,11.95,,,8.7
6.4,5.5,5.75,5.0,6.25,,,,5.0,5.67,,17.15,17.65,,,17.15
5.0,7.0,,,,4.5,5.75,8.0,2.6,,6.08,,,17.25,,
1.8,3.5,,,,2.0,4.0,5.25,2.2,,3.75,,,9.5,,
4.6,7.0,,,,4.75,6.0,7.75,4.0,,6.17,,,17.75,,
2.6,4.75,,,,2.75,5.5,6.25,2.6,,4.83,,,13.0,,
4.6,7.25,,,,5.25,5.0,5.5,3.0,,5.25,,,17.5,,
6.4,4.5,7.25,6.0,2.75,,,,2.6,5.33,,19.65,15.15,,,16.25
5.2,6.5,,,,6.75,7.5,8.75,3.6,,7.67,,,20.75,,
5.4,2.75,6.25,6.5,3.25,,,,2.4,5.33,,18.15,15.15,,,14.05
6.6,5.25,2.75,2.5,5.75,,,,3.6,3.67,,11.85,14.85,,,12.95
4.6,4.5,,,,5.25,7.25,8.0,3.0,,6.83,,,17.0,,
3.4,6.5,,,,2.75,5.25,6.75,3.0,,4.92,,,14.5,,
5.2,3.25,5.25,6.25,2.0,,,,3.4,4.5,,16.7,13.45,,,13.85
3.6,2.0,,,,3.75,3.0,4.5,2.6,,3.75,,,8.75,,
3.6,4.5,,,,2.5,5.0,7.5,2.8,,5.0,,,12.0,,
4.4,5.25,,,,6.5,,,,,,,,,,
2.0,,3.25,2.75,,,,,,,,8.0,,,,
4.8,4.5,,,,4.0,5.25,7.0,3.2,,5.42,,,13.75,,
4.8,2.75,,,,3.5,5.75,6.25,2.8,,5.17,,,12.0,,
4.4,5.75,3.0,4.25,3.75,,,,2.6,3.67,,11.65,12.4,,,10.0
4.2,3.75,,,,3.75,5.75,6.25,2.2,,5.25,,,13.25,,
6.6,7.0,,,,3.75,7.0,8.25,2.8,,6.33,,,17.75,,
4.0,3.75,,,,3.75,4.75,6.25,2.6,,4.92,,,12.25,,
4.4,4.25,,,,6.5,6.75,8.25,2.6,,7.17,,,17.5,,
3.8,3.0,,,,3.75,7.25,8.25,2.0,,6.42,,,14.0,,
2.8,4.75,,,,3.5,5.0,7.25,3.2,,5.25,,,13.25,,
3.8,4.75,,,,2.75,4.0,5.75,3.0,,4.17,,,11.5,,
3.2,4.75,,,,3.5,4.0,4.0,3.4,,3.83,,,12.25,,
4.4,5.0,,,,3.5,8.0,8.25,2.4,,6.58,,,16.5,,
5.0,5.5,,,,6.0,3.75,6.5,3.2,,5.42,,,15.25,,
4.2,4.25,,,,3.75,4.75,,,,,,,12.75,,
5.2,2.25,,,,2.5,4.75,,,,,,,9.5,,
4.6,1.5,,,,5.75,3.0,,,,,,,10.25,,
5.6,5.25,6.0,4.75,5.0,,,,2.8,5.25,,16.35,15.35,,,14.4
3.8,4.75,,,,3.75,4.5,,,,,,,13.0,,
4.2,3.75,,,,4.5,4.0,,,,,,,12.25,,
6.0,5.0,5.25,3.5,3.0,,,,3.4,3.92,,14.75,12.5,,,14.65
4.4,3.75,,,,2.5,5.0,5.0,2.2,,4.17,,,11.25,,
6.4,3.75,,,,5.5,8.0,8.75,6.4,,7.42,,,17.25,,
4.4,5.5,,,,5.0,6.5,6.0,4.4,,5.83,,,17.0,,
4.4,4.25,4.25,3.5,4.75,,,,4.4,4.17,,12.15,12.65,,,13.05
5.8,6.0,6.25,4.0,5.5,,,,2.8,5.25,,16.05,15.3,,,14.85
4.8,4.0,,,,2.75,6.0,6.0,3.2,,4.92,,,12.75,12.0,
5.6,4.0,,,,3.75,5.0,7.0,4.0,,5.25,,,12.75,,
4.6,7.5,,,,5.0,5.0,7.0,3.6,,5.67,,,17.5,,
