Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
2.8,6.5,,,,3.75,5.75,7.0,3.6,,5.5,,,16.0,,
4.6,7.0,,,,4.0,5.5,6.5,3.2,,5.33,,,16.5,,
3.6,2.0,,,,3.75,5.75,7.25,2.8,,5.58,,,11.5,,
4.0,6.0,,,,4.0,3.75,6.25,2.6,,4.67,,,13.75,,
3.6,5.0,,,,2.75,3.25,4.75,3.2,,3.58,,,11.0,,
4.6,5.0,,,,2.75,5.25,8.25,2.6,,5.42,,,13.0,,
2.8,1.75,,,,2.5,5.0,6.25,2.6,,4.58,,,9.25,,
5.2,7.25,,,,3.5,6.0,6.0,3.6,,5.17,,,16.75,,
4.0,6.0,4.5,4.25,6.25,,,,3.4,5.0,,12.75,14.5,,,11.9
2.4,3.0,,,,3.25,6.5,8.25,2.6,,6.0,,,12.75,8.0,
3.6,6.25,,,,4.25,7.0,8.0,3.6,,6.42,,,17.5,,
4.2,2.0,,,,5.75,6.0,8.25,2.6,,6.67,,,13.75,,
5.2,5.25,5.25,5.0,4.0,,,,3.4,4.75,,15.45,14.2,,,13.85
2.8,5.5,,,,2.25,5.5,4.0,2.0,,3.92,,,13.25,,
3.0,5.75,,,,2.75,5.25,6.0,3.2,,4.67,,,13.75,,
4.8,7.0,3.5,4.25,4.75,,,,4.0,4.17,,12.55,13.8,,,12.3
3.4,7.0,,,,5.25,7.25,9.0,3.2,,7.17,,,19.5,,
4.2,7.25,3.0,5.0,5.75,,,,2.2,4.58,,12.2,14.95,,,9.4
3.8,5.75,,,,3.25,5.75,7.75,2.4,,5.58,,,14.75,,
5.8,6.75,,,,5.5,7.75,7.75,4.6,,7.0,,,20.0,,
3.6,6.25,,,,3.0,5.25,7.25,3.8,,5.17,,,14.5,,
3.0,3.25,,,,2.75,3.75,4.75,1.2,,3.75,,,9.75,,
4.4,7.5,,,,4.25,5.5,7.5,4.0,,5.75,,,17.25,,
4.2,5.25,,,,4.25,6.5,8.75,3.4,,6.5,,,16.0,,
5.0,7.5,,,,4.0,6.25,8.5,4.6,,6.25,,,17.75,,
3.4,5.0,,,,3.25,6.0,6.75,3.8,,5.33,,,14.25,,
2.8,3.0,,,,2.5,4.5,6.0,2.2,,4.33,,,10.0,8.0,
4.0,6.25,,,,3.25,7.0,7.75,2.2,,6.0,,,16.5,,
4.2,3.5,,,,4.0,4.25,6.25,2.2,,4.83,,,11.75,,
3.6,6.0,,,,3.75,4.5,5.0,2.0,,4.42,,,14.25,,
3.0,5.25,,,,3.25,4.75,4.75,3.0,,4.25,,,13.25,,
3.2,2.25,,,,2.75,3.5,3.75,2.8,,3.33,,,8.5,,
4.6,4.75,,,,6.0,8.5,8.0,4.4,,7.5,,,19.25,,
4.2,4.75,,,,3.25,4.25,6.25,3.2,,4.58,,,12.25,,
2.6,2.0,,,,2.75,4.5,5.25,2.6,,4.17,,,9.25,,
3.0,5.25,,,,4.0,5.25,5.75,1.8,,5.0,,,14.5,,
3.0,3.25,,,,2.75,3.5,6.0,2.6,,4.08,,,9.5,,
3.2,5.0,,,,3.5,4.25,5.75,2.8,,4.5,,,12.75,11.0,
3.0,3.0,,,,3.5,4.5,7.25,2.4,,5.08,,,11.0,,
4.2,6.0,,,,4.25,6.0,7.0,3.0,,5.75,,,16.25,,
5.2,6.75,,,,3.0,5.0,7.75,2.2,,5.25,,,14.75,,
4.8,5.25,,,,3.0,7.25,8.25,3.6,,6.17,,,15.5,,
2.6,4.5,,,,3.75,4.5,5.75,2.8,,4.67,,,12.75,,
4.2,4.0,,,,2.75,5.0,6.0,4.2,,4.58,,,11.75,,
2.4,5.5,,,,2.25,5.0,6.0,4.0,,4.42,,,12.75,,
4.4,3.25,3.25,2.5,3.25,,,,2.6,3.0,,10.15,10.15,,,10.25
8.0,8.25,7.0,5.25,7.0,,,,3.6,6.42,,20.25,20.25,,,18.6
