Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
2.6,5.0,,,,3.25,4.0,5.5,2.8,,4.25,,,12.25,,
3.2,4.0,,,,2.5,4.5,6.25,1.4,,4.42,,,11.0,,
5.6,5.25,,,,4.0,5.5,9.25,3.0,,6.25,,,14.75,,
4.2,5.25,,,,3.25,4.0,6.75,2.4,,4.67,,,12.5,,
3.8,6.25,,,,4.25,6.25,7.75,3.6,,6.08,,,16.75,,
4.6,4.5,2.5,2.75,3.25,2.5,7.75,8.0,3.2,2.83,6.08,9.85,10.6,14.75,,10.3
5.0,5.5,,,,5.25,6.75,9.25,3.0,,7.08,,,17.5,,
2.0,5.5,,,,2.75,4.5,6.75,3.2,,4.67,,,12.75,,
4.2,5.75,,,,4.0,5.0,9.25,2.8,,6.08,,,14.75,,
2.6,4.5,,,,3.75,3.25,7.5,2.8,,4.83,,,11.5,,
3.6,4.0,,,,2.25,4.75,5.75,3.2,,4.25,,,11.0,,
4.0,5.25,,,,3.0,6.0,7.5,1.6,,5.5,,,14.25,,
3.8,4.25,,,,3.75,5.25,7.75,,,5.58,,,13.25,,
4.6,5.25,,,,4.5,5.75,8.25,2.8,,6.17,,,15.5,,
3.2,3.5,,,,3.0,3.75,4.5,2.8,,3.75,,,10.25,,
4.6,7.5,,,,5.5,8.0,8.5,3.8,,7.33,,,21.0,,
6.0,5.5,,,,5.5,7.5,8.75,3.6,,7.25,,,18.5,,
5.4,7.75,,,,5.5,7.5,9.0,,,7.33,,,20.75,,
4.2,3.25,,,,2.75,5.0,6.5,3.6,,4.75,,,11.0,,
3.0,4.5,,,,4.0,6.25,8.25,2.8,,6.17,,,14.75,,
4.8,7.0,,,,5.25,6.75,9.0,,,7.0,,,19.0,,
6.2,5.5,4.5,5.75,3.75,,,,2.0,4.67,,16.45,15.7,,,12.7
6.0,6.0,,,,4.0,5.5,8.5,4.6,,6.0,,,15.5,,
4.8,4.0,,,,3.0,5.75,8.5,2.0,,5.75,,,12.75,,
5.8,7.75,,,,4.5,6.75,9.0,2.8,,6.75,,,19.0,,
4.8,5.0,2.0,2.75,4.5,,,,2.8,3.08,,9.55,12.05,,,9.6
4.2,5.25,,,,4.75,3.75,6.75,3.8,,5.08,,,13.75,,
3.0,5.25,,,,1.5,5.0,7.25,3.6,,4.58,,,11.75,,
5.0,5.5,3.75,5.0,4.0,,,,3.4,4.25,,13.75,14.0,,,12.15
4.6,5.25,,,,4.25,4.75,7.75,3.6,,5.58,,,14.25,,
4.6,5.25,,,,4.25,6.5,8.5,4.0,,6.42,,,16.0,,
4.8,6.5,,,,4.5,6.5,8.5,3.8,,6.5,,,17.5,,
5.0,5.75,6.0,5.0,4.5,,,,2.8,5.17,,16.0,14.5,,,13.8
3.6,6.0,,,,4.25,5.5,7.5,6.6,,5.75,,,15.75,,
6.4,8.75,,,,6.25,8.25,8.5,3.0,,7.67,,,23.25,,
4.2,4.25,,,,2.75,5.75,5.75,2.8,,4.75,,,12.75,,
3.8,5.75,,,,3.0,6.25,8.5,4.0,,5.92,,,15.0,,
3.2,6.5,,,,4.5,6.0,7.5,3.2,,6.0,,,17.0,,
6.2,3.25,3.5,4.25,5.5,,,,3.0,4.42,,13.95,15.95,,,12.7
6.2,7.75,7.0,5.0,6.0,,,,3.0,6.0,,18.2,17.2,,,16.2
4.2,5.5,,,,4.75,4.75,5.75,2.4,,5.08,,,15.0,,
2.6,5.75,,,,3.5,5.25,6.25,2.4,,5.0,,,14.5,,
3.6,5.5,,,,4.25,6.25,8.25,2.2,,6.25,,,16.0,,
3.6,5.75,,,,4.25,6.5,7.0,2.6,,5.92,,,16.5,,
3.6,6.25,,,,5.75,6.75,9.0,1.8,,7.17,,,18.75,,
4.6,8.0,,,,6.0,7.25,9.25,2.8,,7.5,,,21.25,,
