Toan,Van,VatLy,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
"7,6","4,25","3,75","9,25","5,75",,,,"6,8","6,25",,"20,6","22,6",,"18,65","18,15"
5,"8,75",,,,"6,75","8,75","9,25","4,6",,"8,25",,,"24,25","18,35",
"6,8","6,75","4,5","8,25",7,,,,4,"6,58",,"19,55","22,05",,"17,55","15,3"
7,"5,75",7,"4,5",4,,,,3,"5,17",,"18,5","15,5",,"15,75",17
"6,8","2,75","6,5",6,"3,5",,,,4,"5,33",,"19,3","16,3",,"13,55","17,3"
6,5,"6,5","3,25",3,,,,"5,6","4,25",,"15,75","12,25",,"16,6","18,1"
8,5,"6,5","7,5","3,5",,,,"2,2","5,83",,22,19,,"15,2","16,7"
"6,6","4,75","7,75",7,3,,,,"3,6","5,92",,"21,35","16,6",,"14,95","17,95"
"6,6","5,25",7,"8,25","3,75",,,,"3,6","6,33",,"21,85","18,6",,"15,45","17,2"
"6,8","5,75","7,5",7,5,,,,"4,8","6,5",,"21,3","18,8",,"17,35","19,1"
"8,4","7,5","3,5","7,25","7,75",,,,"5,2","6,17",,"19,15","23,4",,"21,1","17,1"
"8,2",7,7,8,"3,5",,,,"6,4","6,17",,"23,2","19,7",,"21,6","21,6"
"7,6","5,25","2,5","8,5","8,25",,,,"3,6","6,42",,"18,6","24,35",,"16,45","13,7"
"4,6",4,"3,75","2,5","4,5",,,,"3,6","3,58",,"10,85","11,6",,"12,2","11,95"
"4,8","7,25","2,25","2,75","3,25",,,,"3,6","2,75",,"9,8","10,8",,"15,65","10,65"
"6,4","6,25","3,5","7,25",8,,,,5,"6,25",,"17,15","21,65",,"17,65","14,9"
"5,2","4,25","5,75",7,"4,75",,,,"2,2","5,83",,"17,95","16,95",,"11,65","13,15"
"8,8","5,58","8,25","8,5","5,5",,,,"6,8","7,42",,"25,55","22,8",,"21,18","23,85"
"6,4","5,5","6,25","5,75",4,,,,"3,4","5,33",,"18,4","16,15",,"15,3","16,05"
6,5,"7,25",6,"4,25",,,,3,"5,83",,"19,25","16,25",,14,"16,25"
"7,6","6,25","7,5","8,25",4,,,,"5,2","6,58",,"23,35","19,85",,"19,05","20,3"
"5,4","5,75","3,75","4,25","4,75",,,,5,"4,25",,"13,4","14,4",,"16,15","14,15"
7,6,"7,75","6,5","6,25",,,,"5,4","6,83",,"21,25","19,75",,"18,4","20,15"
"5,2","6,5","3,75","4,25","3,75",,,,"3,8","3,92",,"13,2","13,2",,"15,5","12,75"
"5,6","5,75","5,5",4,"3,5",,,,"3,8","4,33",,"15,1","13,1",,"15,15","14,9"
7,"5,75","4,5","5,25","4,5",,,,"4,4","4,75",,"16,75","16,75",,"17,15","15,9"
4,6,"3,75","2,75",4,"3,5","4,5",,,"3,5",,"10,5","10,75",14,,
"2,6",3,2,2,3,"2,75","1,5",,,"2,33",,"6,6","7,6","7,25",,
"5,6",,,"5,5","6,75",,,,,,,,"17,85",,,
"6,6","7,25",2,"6,5",7,,,,"2,4","5,17",,"15,1","20,1",,"16,25",11
"5,8",3,5,"5,25","5,25",,,,"4,2","5,17",,"16,05","16,3",,13,15
"7,6","4,75",4,"7,5","7,5",,,,"4,8","6,33",,"19,1","22,6",,"17,15","16,4"
5,"3,75",5,"5,5","2,75",,,,4,"4,42",,"15,5","13,25",,"12,75",14
"6,6",4,"7,75","8,25","3,75",,,,"3,4","6,58",,"22,6","18,6",,14,"17,75"
"7,8","5,5","7,5",6,"4,25",,,,"2,6","5,92",,"21,3","18,05",,"15,9","17,9"
"6,4","6,41",5,"3,75",3,,,,"6,4","3,92",,"15,15","13,15",,"19,21","17,8"
"8,2","5,75",5,"6,5","3,75",,,,"4,4","5,08",,"19,7","18,45",,"18,35","17,6"
3,"3,25","2,25","3,5","2,25","2,75","3,75","3,5","2,8","2,67","3,33","8,75","8,75","9,75","9,05","8,05"
"3,8",4,"3,25","2,25","2,75",2,"3,25",5,"1,6","2,75","3,42","9,3","8,8","9,25","9,4","8,65"
"4,2",5,"2,75","3,5",4,"2,25","3,5","7,25","3,4","3,42","4,33","10,45","11,7","10,75","12,6","10,35"
"3,2",6,"3,75",3,4,4,"3,5",5,"2,4","3,58","4,17","9,95","10,2","13,5","11,6","9,35"
"4,2","7,5",,,,"6,75","7,5","8,25",,,"7,5",,,"21,75",,
7,"4,25","5,25","3,5","4,5",2,5,"7,25","5,8","4,42","4,75","15,75",15,"11,25","17,05","18,05"
"4,8","5,75","1,5","3,5","2,5",4,"5,25","8,25","4,4","2,5","5,83","9,8","10,8",15,"14,95","10,7"
"7,2",7,"7,75","8,25",4,,,,6,"6,67",,"23,2","19,45",,"20,2","20,95"
"8,6",6,"8,25","8,25",5,,,,"5,8","7,17",,"25,1","21,85",,"20,4","22,65"
"7,4","3,5","6,5","3,75","3,5",,,,"5,2","4,58",,"17,65","14,65",,"16,1","19,1"
"8,2","4,75",7,"2,75","3,75",,,,"7,4","4,5",,"17,95","14,7",,"20,35","22,6"
"5,2","5,25","3,5","5,25","5,75",,,,"3,4","4,83",,"13,95","16,2",,"13,85","12,1"
"7,2","3,75","7,75","3,25","3,25",,,,"7,8","4,75",,"18,2","13,7",,"18,75","22,75"
"5,6","4,5","2,5",6,"4,5",,,,"4,8","4,33",,"14,1","16,1",,"14,9","12,9"
"6,4","6,5","6,25",4,4,,,,"5,4","4,75",,"16,65","14,4",,"18,3","18,05"
6,3,"5,5","5,25","3,75",,,,3,"4,83",,"16,75",15,,12,"14,5"
"6,2",5,"6,5","4,25","4,5",,,,"5,4","5,08",,"16,95","14,95",,"16,6","18,1"
"6,4","6,5","4,5","6,75","3,75",,,,"3,8",5,,"17,65","16,9",,"16,7","14,7"
"5,2","5,5",5,7,"4,75",,,,"3,2","5,58",,"17,2","16,95",,"13,9","13,4"
"6,8","7,5",7,"7,75","4,5",,,,"4,4","6,42",,"21,55","19,05",,"18,7","18,2"
