Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
5.0,5.25,,,,4.5,7.25,8.0,2.8,,6.58,,,17.0,,
3.8,2.25,3.0,2.75,2.5,3.25,5.75,5.5,2.4,2.75,4.83,9.55,9.05,11.25,,9.2
4.0,2.75,,,,4.0,4.75,5.75,2.2,,4.83,,,11.5,,
4.2,7.0,,,,4.75,7.0,7.5,6.4,,6.42,,,18.75,,
4.8,3.75,2.0,2.75,5.0,3.25,4.0,6.5,2.8,3.25,4.58,9.55,12.55,11.0,,9.6
5.8,6.5,,,,4.25,7.25,5.25,3.2,,5.58,,,18.0,,
4.2,6.5,,,,5.5,6.0,8.0,3.0,,6.5,,,18.0,,
6.2,5.0,5.5,5.0,4.75,,,,2.6,5.08,,16.7,15.95,,,14.3
4.4,4.75,,,,3.0,4.0,6.75,3.8,,4.58,,,11.75,,
3.2,3.5,,,,3.0,4.0,6.25,2.6,,4.42,,,10.5,,
5.8,6.25,3.5,5.5,4.25,4.5,7.25,8.5,5.8,4.42,6.75,14.8,15.55,18.0,,15.1
4.8,3.5,,,,3.0,5.0,7.5,2.8,,5.17,,,11.5,,
3.6,4.0,,,,4.0,4.75,6.5,2.6,,5.08,,,12.75,,
7.2,7.0,7.0,7.75,3.5,,,,5.4,6.08,,21.95,18.45,,,19.6
2.6,2.5,,,,1.75,3.75,,,,,,,8.0,,
5.6,5.5,6.25,5.25,3.5,,,,3.8,5.0,,17.1,14.35,,,15.65
2.0,3.5,,,,2.0,3.75,7.25,2.6,,4.33,,,9.25,,
3.0,6.75,,,,1.75,5.25,7.5,3.4,,4.83,,,13.75,,
3.6,7.0,,,,4.0,5.5,8.0,3.8,,5.83,,,16.5,,
3.2,5.0,,,,3.25,5.5,6.75,3.8,,5.17,,,13.75,12.0,
5.2,7.25,,,,3.0,5.75,7.25,3.2,,5.33,,,16.0,,
