Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
4.8,5.25,4.75,3.75,3.25,,,,2.8,3.92,,13.3,11.8,,,12.35
4.4,7.25,,,,4.5,7.0,8.25,4.0,,6.58,,,18.75,,
6.4,5.75,5.25,4.5,3.25,,,,5.0,4.33,,16.15,14.15,,,16.65
6.0,6.5,,,,3.75,6.75,7.75,4.4,,6.08,,,17.0,,
5.4,5.5,,,,2.5,5.75,7.75,4.0,,5.33,,,13.75,,
6.0,4.5,5.75,4.25,3.75,,,,3.8,4.58,,16.0,14.0,,,15.55
5.8,4.5,4.0,4.25,2.5,,,,4.2,3.58,,14.05,12.55,,,14.0
3.6,6.75,,,,2.5,5.75,8.0,3.4,,5.42,,,15.0,,
6.0,5.25,5.0,4.75,5.25,,,,2.4,5.0,,15.75,16.0,,,13.4
4.0,5.75,,,,3.25,4.25,8.0,3.6,,5.17,,,13.25,,
6.2,6.0,3.75,2.25,3.75,,,,3.2,3.25,,12.2,12.2,,,13.15
4.0,4.5,,,,2.75,3.25,4.75,2.8,,3.58,,,10.5,,
5.4,7.25,,,,4.5,4.5,7.75,5.4,,5.58,,,16.25,,
4.4,4.75,,,,3.5,7.0,7.25,2.6,,5.92,,,15.25,,
4.4,4.75,,,,3.5,4.5,5.75,3.2,,4.58,,,12.75,,
4.6,5.5,4.25,4.25,4.75,,,,3.4,4.42,,13.1,13.6,,,12.25
6.0,4.25,4.5,4.75,3.25,,,,2.6,4.17,,15.25,14.0,,,13.1
5.8,5.5,4.75,4.25,5.0,,,,3.0,4.67,,14.8,15.05,,,13.55
6.0,5.25,3.75,5.0,4.75,,,,4.0,4.5,,14.75,15.75,,,13.75
6.6,5.0,5.5,5.5,4.5,,,,3.6,5.17,,17.6,16.6,,,15.7
7.4,4.5,4.5,4.75,5.5,,,,3.2,4.92,,16.65,17.65,,,15.1
6.4,5.0,6.25,6.25,3.25,,,,4.0,5.25,,18.9,15.9,,,16.65
5.6,6.75,6.75,5.75,6.25,,,,4.0,6.25,,18.1,17.6,,,16.35
3.4,3.0,,,,3.5,5.0,5.0,4.6,,4.5,,,11.5,11.0,
4.0,5.25,,,,2.25,6.25,8.5,4.0,,5.67,,,13.75,,
4.6,5.5,,,,3.5,4.0,7.75,2.0,,5.08,,,13.0,,
3.6,5.25,,,,1.5,3.75,5.5,3.2,,3.58,,,10.5,,
2.2,4.0,,,,3.25,4.0,5.25,2.0,,4.17,,,11.25,,
3.0,3.0,,,,2.25,3.5,4.5,1.4,,3.42,,,8.75,,
3.6,5.0,,,,2.0,3.75,5.75,3.2,,3.83,,,10.75,,
4.2,6.0,,,,2.25,4.5,6.0,1.8,,4.25,,,12.75,12.0,
2.2,3.5,,,,3.0,3.5,5.0,2.8,,3.83,,,10.0,,
3.2,5.0,,,,3.0,5.75,6.5,2.8,,5.08,,,13.75,11.0,
3.6,2.5,,,,1.5,4.5,6.25,3.2,,4.08,,,8.5,,
4.4,5.5,4.5,3.75,4.75,,,,2.4,4.33,,12.65,12.9,,,11.3
6.2,7.25,3.75,4.75,4.25,,,,4.6,4.25,,14.7,15.2,,,14.55
5.8,5.5,5.25,3.0,2.75,,,,4.0,3.67,,14.05,11.55,,,15.05
5.8,6.75,5.75,6.0,3.75,,,,3.2,5.17,,17.55,15.55,,,14.75
5.4,7.25,5.5,3.25,4.25,,,,3.6,4.33,,14.15,12.9,,,14.5
7.4,7.75,5.5,5.75,5.0,,,,7.6,5.42,,18.65,18.15,,,20.5
