Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
7.4,7.5,4.5,6.0,6.25,,,,7.4,5.58,,17.9,19.65,,,19.3
5.2,5.0,,,,2.75,5.25,7.25,2.0,,5.08,,,13.0,,
5.6,5.58,6.0,6.25,5.0,,,,3.8,5.75,,17.85,16.85,,,15.4
6.2,6.5,6.0,4.0,5.75,,,,8.0,5.25,,16.2,15.95,,,20.2
6.0,7.25,,,,5.0,7.75,8.75,5.6,,7.17,,,20.0,,
7.4,7.75,6.75,7.75,5.25,,,,5.2,6.58,,21.9,20.4,,,19.35
4.6,6.5,,,,5.5,8.25,7.0,3.2,,6.92,,,20.25,,
6.6,4.75,6.5,6.0,3.25,,,,4.0,5.25,,19.1,15.85,,,17.1
5.2,6.75,,,,3.75,5.0,6.5,2.2,,5.08,,,15.5,,
3.8,5.5,,,,2.75,4.75,7.0,2.4,,4.83,,,13.0,,
6.2,5.0,7.5,5.25,5.0,,,,3.4,5.92,,18.95,16.45,,,17.1
7.0,6.25,4.25,6.0,4.75,,,,5.6,5.0,,17.25,17.75,,,16.85
6.2,7.25,,,,3.5,7.25,8.5,5.8,,6.42,,,18.0,,
6.8,4.5,6.75,6.0,5.5,,,,2.8,6.08,,19.55,18.3,,,16.35
5.8,6.5,,,,2.25,5.5,8.0,7.4,,5.25,,,14.25,,
4.6,4.5,5.25,3.0,4.0,,,,3.2,4.08,,12.85,11.6,,,13.05
6.8,7.0,,,,6.25,6.5,8.0,6.8,,6.92,,,19.75,,
4.2,5.0,,,,3.75,5.25,7.5,3.2,,5.5,,,14.0,,
5.0,7.5,,,,3.0,5.75,7.75,5.4,,5.5,,,16.25,,
4.8,5.5,,,,3.75,6.25,7.75,4.0,,5.92,,,15.5,,
4.8,6.25,,,,3.25,6.0,6.75,2.8,,5.33,,,15.5,,
3.8,3.75,,,,3.5,6.75,7.0,2.8,,5.75,,,14.0,,
6.4,8.5,,,,5.25,4.5,7.75,6.6,,5.83,,,18.25,,
5.8,7.0,,,,5.0,6.5,8.0,4.0,,6.5,,,18.5,,
5.8,5.5,,,,4.0,8.5,9.0,2.6,,7.17,,,18.0,,
3.2,5.0,,,,6.25,7.0,8.5,2.8,,7.25,,,18.25,11.0,
7.8,7.75,,,,6.75,8.75,9.5,5.8,,8.33,,,23.25,,
5.4,5.75,3.0,2.25,3.25,,,,2.6,2.83,,10.65,10.9,,,11.0
4.6,5.75,5.75,5.5,5.75,,,,3.6,5.67,,15.85,15.85,,,13.95
6.6,5.25,6.0,7.25,6.25,,,,3.2,6.5,,19.85,20.1,,,15.8
7.4,7.5,6.0,5.75,5.25,,,,2.4,5.67,,19.15,18.4,,,15.8
7.0,8.0,4.75,6.25,5.0,,,,7.6,5.33,,18.0,18.25,,,19.35
4.4,5.0,4.0,3.25,4.0,,,,3.6,3.75,,11.65,11.65,,13.0,12.0
6.0,5.5,,,,6.0,7.0,9.0,4.0,,7.33,,,18.5,,
7.6,5.0,7.5,7.5,3.75,,,,5.2,6.25,,22.6,18.85,,,20.3
4.4,6.5,5.25,3.25,3.75,2.25,2.0,4.25,4.0,4.08,2.83,12.9,11.4,10.75,,13.65
2.6,3.0,,,,2.0,4.25,,,,,,,9.25,,
3.2,3.75,,,,1.75,3.5,,,,,,,9.0,,
2.2,1.75,,,,3.5,5.5,,,,,,,10.75,,
7.2,7.0,,,,4.75,7.0,8.0,8.6,,6.58,,,18.75,,
5.0,6.75,,,,4.75,5.25,7.5,4.0,,5.83,,,16.75,,
3.4,5.5,,,,3.0,5.75,,,,,,,14.25,,
2.2,5.0,,,,3.0,5.75,,,,,,,13.75,,
3.4,5.75,,,,2.5,5.0,,,,,,,13.25,,
4.8,3.25,,,,2.5,3.5,,,,,,,9.25,,
3.2,2.25,,,,2.75,1.0,,,,,,,6.0,,
5.2,3.0,,,,2.75,4.5,,,,,,,10.25,,
6.0,7.25,,,,4.25,6.0,8.25,6.8,,6.17,,,17.5,,
5.6,5.5,,,,2.25,5.75,7.25,4.2,,5.08,,,13.5,,
4.8,5.25,,,,5.25,6.0,7.25,2.2,,6.17,,,16.5,,
5.0,8.25,,,,7.0,7.5,8.0,4.6,,7.5,,,22.75,,
7.0,6.25,7.0,7.5,5.25,,,,2.6,6.58,,21.5,19.75,,,16.6
5.2,5.25,5.0,6.0,4.5,,,,4.6,5.17,,16.2,15.7,,,14.8
4.2,5.25,,,,3.5,6.75,7.25,2.2,,5.83,,,15.5,,
3.6,5.5,,,,4.75,5.25,6.75,2.8,,5.58,,,15.5,,
3.4,4.0,,,,4.0,5.75,6.5,2.8,,5.42,,,13.75,,
5.6,6.5,,,,6.0,6.5,9.0,3.2,,7.17,,,19.0,,
4.8,5.25,,,,6.75,7.75,8.75,2.6,,7.75,,,19.75,,
3.8,6.25,,,,5.75,8.75,8.0,3.6,,7.5,,,20.75,,
4.2,6.25,,,,6.25,9.75,9.0,4.0,,8.33,,,22.25,,
4.6,5.0,,,,5.0,6.25,8.0,3.8,,6.42,,,16.25,,
4.4,5.0,,,,5.0,8.75,8.5,3.8,,7.42,,,18.75,,
3.8,3.5,,,,4.75,3.5,,,,,,,11.75,,
2.6,2.75,,,,2.5,3.75,,,,,,,9.0,,
2.8,2.5,,,,3.25,4.75,,,,,,,10.5,,
3.0,2.5,,,,2.25,5.25,,,,,,,10.0,,
3.0,3.0,,,,3.25,4.5,,,,,,,10.75,,
3.8,2.5,,,,3.75,5.25,,,,,,,11.5,,
4.0,3.0,,,,3.5,4.5,,,,,,,11.0,,
6.6,6.5,5.25,7.25,6.75,,,,1.8,6.42,,19.1,20.6,,,13.65
6.2,7.0,3.0,6.5,6.25,,,,3.2,5.25,,15.7,18.95,,,12.4
7.0,5.0,5.75,6.75,5.0,,,,3.8,5.83,,19.5,18.75,,,16.55
3.0,4.0,,,,2.75,5.5,5.5,1.6,,4.58,,,12.25,,
5.8,8.5,,,,2.25,5.0,5.5,2.6,,4.25,,,15.75,,
5.4,5.0,4.0,6.0,3.25,,,,3.0,4.42,,15.4,14.65,,,12.4
4.6,7.0,,,,3.5,6.25,7.25,5.8,,5.67,,,16.75,,
7.0,6.0,7.5,7.0,4.75,,,,4.4,6.42,,21.5,18.75,,,18.9
8.0,5.5,7.75,7.75,5.25,,,,4.2,6.92,,23.5,21.0,,,19.95
6.4,6.25,,,,4.0,7.0,8.25,4.4,,6.42,,,17.25,,
5.2,8.0,,,,3.5,6.0,8.25,5.4,,5.92,,,17.5,,
3.0,5.25,,,,3.5,3.75,5.25,3.0,,4.17,,,12.5,,
6.2,5.0,8.25,6.75,3.5,,,,5.8,6.17,,21.2,16.45,,17.0,20.25
6.2,7.25,,,,5.25,6.5,8.25,4.4,,6.67,,,19.0,,
6.4,8.0,,,,4.0,6.5,8.75,,,6.42,,,18.5,,
5.0,5.75,,,,4.25,5.5,7.0,3.8,,5.58,,,15.5,,
1.8,4.25,,,,3.0,5.5,,,,,,,12.75,,
3.4,3.5,,,,3.75,3.5,,,,,,,10.75,,
3.0,3.0,,,,4.0,3.0,,,,,,,10.0,,
3.6,5.5,,,,3.25,6.5,,,,,,,15.25,,
7.6,6.5,7.75,7.25,5.25,,,,4.8,6.75,,22.6,20.1,,,20.15
7.4,5.5,6.75,4.75,5.0,,,,2.6,5.5,,18.9,17.15,,,16.75
4.2,4.25,3.5,4.5,6.25,,,,3.2,4.75,,12.2,14.95,,,10.9
5.0,6.0,4.0,4.75,3.25,,,,3.2,4.0,,13.75,13.0,,,12.2
3.6,4.0,3.0,4.25,5.25,,,,3.8,4.17,,10.85,13.1,,,10.4
6.6,4.75,4.5,5.0,3.0,,,,3.4,4.17,,16.1,14.6,,,14.5
7.8,6.5,7.0,5.75,5.75,,,,2.6,6.17,,20.55,19.3,,,17.4
6.4,6.0,7.0,8.0,7.5,,,,3.2,7.5,,21.4,21.9,,,16.6
7.0,5.0,5.5,6.5,4.0,,,,2.4,5.33,,19.0,17.5,,,14.9
4.4,4.75,3.5,2.25,4.75,,,,3.8,3.5,,10.15,11.4,,,11.7
1.8,5.5,,,,2.25,4.25,5.25,2.8,,3.92,,,12.0,,
4.8,4.5,,,,4.5,6.0,8.25,3.0,,6.25,,,15.0,,
3.6,7.75,,,,7.0,7.75,7.5,3.6,,7.42,,,22.5,,
1.6,6.25,,,,3.0,6.5,7.75,2.2,,5.75,,,15.75,,
3.4,4.0,,,,3.5,6.5,5.75,4.0,,5.25,,,14.0,,
5.2,4.0,,,,4.0,6.25,8.0,2.2,,6.08,,,14.25,,
5.0,8.5,,,,7.75,9.5,9.25,4.2,,8.83,,,25.75,,
3.4,5.0,,,,3.25,5.5,6.5,2.8,,5.08,,,13.75,,
2.6,3.75,,,,4.75,4.5,,,,,,,13.0,,
1.6,4.75,,,,2.0,2.5,,,,,,,9.25,,
5.8,9.0,,,,6.0,7.0,9.0,5.6,,7.33,,,22.0,,
4.6,6.75,,,,3.0,5.5,7.25,3.8,,5.25,,,15.25,,
6.2,7.0,,,,6.0,4.75,8.0,5.2,,6.25,,,17.75,,
5.2,7.5,,,,7.25,6.75,7.75,3.2,,7.25,,,21.5,,
4.8,6.25,,,,1.5,5.25,7.25,5.4,,4.67,,,13.0,,
4.4,6.5,4.25,3.25,3.0,,,,6.8,3.5,,11.9,10.65,,,15.45
4.4,3.75,3.5,4.75,4.25,,,,3.0,4.17,,12.65,13.4,,,10.9
6.0,4.5,5.0,2.75,3.25,3.25,4.75,5.75,5.0,3.67,4.58,13.75,12.0,12.5,,16.0
6.6,8.75,,,,4.75,7.0,8.0,6.8,,6.58,,,20.5,,
6.6,6.75,,,,6.25,8.25,9.5,8.0,,8.0,,,21.25,,
5.6,7.5,,,,3.75,8.25,9.0,5.4,,7.0,,,19.5,,
6.8,7.5,,,,4.75,6.5,8.75,8.2,,6.67,,,18.75,,
4.6,3.5,,,,4.5,4.75,,,,,,,12.75,,
5.8,4.75,,,,4.0,6.0,,,,,,,14.75,,
6.2,8.75,,,,4.25,6.75,8.0,7.6,,6.33,,,19.75,,
3.6,5.75,,,,5.75,6.75,8.25,3.4,,6.92,,,18.25,,
7.0,6.25,7.0,5.75,5.0,,,,3.4,5.92,,19.75,17.75,,,17.4
6.0,5.25,4.0,4.0,4.25,,,,3.4,4.08,,14.0,14.25,,,13.4
