Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.4,6.25,,,,4.25,6.5,9.25,3.4,,6.67,,,17.0,,
3.6,6.0,,,,3.5,5.25,7.25,3.0,,5.33,,,14.75,,
4.4,5.25,,,,4.25,6.5,7.5,4.2,,6.08,,,16.0,,
4.0,5.5,,,,2.75,5.25,8.25,2.4,,5.42,,,13.5,,
3.8,4.5,,,,2.75,5.0,8.25,3.6,,5.33,,,12.25,,
3.8,4.5,,,,3.5,6.5,8.0,3.2,,6.0,,,14.5,,
2.0,4.0,,,,3.25,4.25,6.75,2.6,,4.75,,,11.5,,
3.4,4.0,2.5,3.25,3.5,3.25,3.25,6.5,2.0,3.08,4.33,9.15,10.15,10.5,,7.9
5.0,8.5,,,,3.5,7.0,8.75,5.2,,6.42,,,19.0,,
4.4,7.25,,,,6.25,6.75,7.5,4.0,,6.83,,,20.25,,
3.4,4.0,,,,4.75,3.75,7.25,3.4,,5.25,,,12.5,,
5.4,5.5,,,,3.25,7.5,8.75,4.0,,6.5,,,16.25,,
2.8,3.0,,,,2.75,6.5,7.0,2.8,,5.42,,,12.25,,
2.6,4.25,,,,4.75,5.25,4.5,2.2,,4.83,,,14.25,,
3.0,4.75,,,,4.25,6.75,7.75,3.4,,6.25,,,15.75,,
3.2,3.0,,,,2.5,3.0,6.0,2.8,,3.83,,,8.5,9.0,
1.6,6.25,,,,3.0,4.75,8.75,2.2,,5.5,,,14.0,,
5.2,5.5,,,,3.25,7.25,9.0,3.6,,6.5,,,16.0,,
4.0,3.5,,,,3.0,4.25,7.0,2.8,,4.75,,,10.75,,
3.2,5.5,2.5,3.25,4.0,2.5,5.0,7.75,1.8,3.25,5.08,8.95,10.45,13.0,,7.5
3.0,3.75,,,,3.25,4.25,7.25,2.8,,4.92,,,11.25,,
3.2,6.0,,,,3.5,6.25,7.0,1.8,,5.58,,,15.75,11.0,
2.0,6.0,,,,3.75,5.5,6.5,3.0,,5.25,,,15.25,11.0,
2.8,6.0,,,,3.75,5.25,7.25,2.4,,5.42,,,15.0,,
2.0,5.0,,,,3.25,6.75,7.75,1.8,,5.92,,,15.0,,
3.2,3.5,,,,6.5,5.5,7.25,2.0,,6.42,,,15.5,,
4.2,4.75,,,,4.5,6.0,7.75,2.8,,6.08,,,15.25,,
3.6,4.0,,,,2.75,4.25,7.75,2.8,,4.92,,,11.0,,
4.2,4.5,,,,0.75,4.75,3.25,2.8,,2.92,,,10.0,,
4.2,4.0,,,,3.75,5.5,6.25,2.2,,5.17,,,13.25,,
5.4,6.5,,,,4.0,7.0,8.5,3.2,,6.5,,,17.5,,
2.8,3.25,,,,4.0,3.5,4.0,4.2,,3.83,,,10.75,,
3.4,3.0,,,,3.0,5.0,4.25,3.2,,4.08,,,11.0,,
2.8,3.5,,,,4.0,3.75,5.0,2.4,,4.25,,,11.25,,
3.8,4.5,,,,4.25,7.0,6.25,2.4,,5.83,,,15.75,,
3.2,5.75,,,,2.75,5.0,8.0,3.0,,5.25,,,13.5,,
5.0,6.75,,,,2.5,6.0,7.5,3.0,,5.33,,,15.25,,
2.2,3.25,,,,4.0,4.75,4.75,2.6,,4.5,,,12.0,,
